sentence,labels
the authors that the guard likes and the executive likes,1
the manager that the architects love and the taxi drivers hate,0
the surgeon near the architects next to the ministers,0
the authors behind the guards behind the parents,1
the customers across from the skaters in front of the assistants,1
the customer across from the guards near the taxi drivers,0
the author that the guards like and the parents admire,0
the surgeon next to the skater next to the assistant,0
the game from the skater in front of the executive,0
the shows from the dancers next to the ministers,1
the managers across from the dancer to the side of the executive,1
the books that the guard likes and the parent likes,1
the games that the chefs love and the assistants like,1
the officer next to the guard in front of the assistant,0
the customers in front of the dancers behind the assistants,1
the teachers that the architect hates and the assistant hates,1
the authors in front of the architect in front of the executive,1
the senator in front of the architect in front of the parent,0
the consultants in front of the guards in front of the parents,1
the consultants next to the guard behind the executive,1
the songs from the guards across from the parents,1
the authors that the chef admires and the executive hates,1
the managers behind the chef behind the assistant,1
the songs that the architect likes and the minister hates,1
the authors to the side of the skaters behind the executives,1
the farmers near the dancer across from the taxi driver,1
the pictures by the architects across from the assistants,1
the consultants near the architect in front of the parent,1
the songs that the architect loves and the executive hates,1
the consultant that the skater loves and the assistant likes,0
the authors next to the architects next to the taxi drivers,1
the senators behind the dancer next to the executive,1
the officers next to the architects to the side of the taxi drivers,1
the picture that the dancers admire and the ministers like,0
the officer that the guards admire and the ministers hate,0
the pilots to the side of the guard near the parent,1
the poem that the dancers like and the executives like,0
the officer behind the guards in front of the parents,0
the pilot that the chefs like and the executives admire,0
the teachers across from the dancer behind the assistant,1
the pilots in front of the dancer behind the minister,1
the shows that the dancers like and the taxi drivers like,1
the pictures that the dancers like and the parents love,1
the novel that the architect likes and the parent likes,0
the farmer next to the architect across from the taxi driver,0
the movies by the guard in front of the assistant,1
the surgeon to the side of the guards across from the executives,0
the paintings by the dancers in front of the parents,1
the officer across from the architects to the side of the executives,0
the paintings that the guards love and the executives hate,1
the surgeon that the skater loves and the parent admires,0
the pilots next to the chef behind the parent,1
the consultants that the skater hates and the assistant hates,1
the manager in front of the chefs in front of the executives,0
the manager that the dancer admires and the assistant likes,0
the managers that the architect loves and the taxi driver likes,1
the picture that the chef likes and the minister admires,0
the managers that the dancer likes and the assistant hates,1
the surgeon near the dancers across from the taxi drivers,0
the pilots that the skater loves and the parent likes,1
the managers across from the architects across from the assistants,1
the senator next to the guards behind the executives,0
the customers to the side of the chef to the side of the taxi driver,1
the novels by the skater next to the executive,1
the consultant that the skater loves and the assistant loves,0
the consultant near the guard to the side of the taxi driver,0
the painting that the guard admires and the parent likes,0
the authors that the architects admire and the parents hate,1
the song that the dancer loves and the taxi driver hates,0
the managers near the architects across from the ministers,1
the novels that the guard likes and the parent likes,1
the games by the chefs next to the taxi drivers,1
the movie from the chef across from the assistant,0
the show that the architects love and the taxi drivers admire,0
the pilot next to the guard behind the parent,0
the pilot in front of the skater behind the assistant,0
the novel that the skater hates and the taxi driver loves,0
the senators that the guard admires and the taxi driver hates,1
the authors that the dancers love and the assistants love,1
the officers near the chefs near the assistants,1
the customers in front of the guards behind the ministers,1
the senators next to the guards to the side of the parents,1
the manager across from the chefs behind the taxi drivers,0
the teachers in front of the dancers to the side of the taxi drivers,1
the senator across from the dancer next to the executive,0
the teacher across from the chef to the side of the executive,0
the consultant that the architects admire and the assistants like,0
the customers to the side of the architect in front of the taxi driver,1
the manager next to the dancer to the side of the taxi driver,0
the senators that the skater hates and the assistant admires,1
the teacher across from the chef next to the executive,0
the movie from the guard near the executive,0
the customer that the architect likes and the minister hates,0
the senators near the guards to the side of the executives,1
the consultant across from the skater near the parent,0
the authors next to the architects next to the ministers,1
the officer across from the dancer across from the minister,0
the pilot next to the skaters behind the parents,0
the song that the chefs admire and the executives like,0
the senators to the side of the chef across from the executive,1
the farmers in front of the dancer in front of the minister,1
the manager that the chef hates and the executive loves,0
the consultant to the side of the chef next to the taxi driver,0
the book that the chef admires and the executive likes,0
the song that the skaters admire and the parents like,0
the customer in front of the guards in front of the taxi drivers,0
the novels that the chefs like and the parents admire,1
the customers to the side of the dancers near the parents,1
the novel by the skater in front of the taxi driver,0
the customer behind the architects next to the assistants,0
the customer to the side of the skater in front of the parent,0
the songs that the skaters admire and the assistants love,1
the farmers behind the chefs to the side of the taxi drivers,1
the pilots that the guard admires and the parent likes,1
the poems that the skater loves and the executive hates,1
the officer next to the skater to the side of the minister,0
the surgeons across from the chef behind the parent,1
the book that the guards hate and the taxi drivers like,0
the novels by the guard next to the parent,1
the officers that the skater admires and the executive hates,1
the songs that the guard likes and the taxi driver loves,1
the manager next to the dancers behind the assistants,0
the customer across from the architect near the parent,0
the manager behind the architects behind the ministers,0
the movie from the architect in front of the executive,0
the customer that the guards like and the ministers hate,0
the senator next to the skaters behind the assistants,0
the consultants in front of the skaters to the side of the parents,1
the consultants in front of the dancers behind the executives,1
the surgeons in front of the chef across from the parent,1
the customer that the chef loves and the taxi driver likes,0
the consultants to the side of the architect in front of the assistant,1
the manager near the guard to the side of the executive,0
the movies that the guard likes and the assistant admires,1
the customer that the skaters like and the taxi drivers admire,0
the consultants near the architect behind the executive,1
the farmer that the skater likes and the parent admires,0
the poems that the skaters like and the parents love,1
the customers near the skater across from the parent,1
the show by the dancer near the taxi driver,0
the pictures that the guard loves and the assistant hates,1
the novel by the skaters next to the ministers,0
the poem that the chef likes and the parent hates,0
the novel that the skaters love and the executives love,0
the author that the skaters hate and the assistants like,0
