sentence,labels,ungrammatical,gender
the customers that the chef hates and the taxi driver admires injured themselves,1,the customers that the chef hates and the taxi driver admires injured himself,0
the author that the architects love and the taxi drivers admire hurt himself,0,the author that the architects love and the taxi drivers admire hurt themselves,0
the senator that the skater admires and the assistant hates hated herself,0,the senator that the skater admires and the assistant hates hated themselves,1
the teachers that the skater likes and the minister likes hated themselves,1,the teachers that the skater likes and the minister likes hated herself,1
the surgeon that the architects like and the parents admire injured himself,0,the surgeon that the architects like and the parents admire injured themselves,0
the farmer that the dancers hate and the parents love hated himself,0,the farmer that the dancers hate and the parents love hated themselves,0
the authors that the dancer loves and the taxi driver admires doubted themselves,1,the authors that the dancer loves and the taxi driver admires doubted himself,0
the consultant that the dancers hate and the executives hate disguised herself,0,the consultant that the dancers hate and the executives hate disguised themselves,1
the authors that the guard likes and the parent admires doubted themselves,1,the authors that the guard likes and the parent admires doubted herself,1
the consultants that the chefs hate and the taxi drivers hate hated themselves,1,the consultants that the chefs hate and the taxi drivers hate hated herself,1
the pilot that the architects hate and the parents hate hurt himself,0,the pilot that the architects hate and the parents hate hurt themselves,0
the surgeon that the dancer loves and the assistant hates embarrassed herself,0,the surgeon that the dancer loves and the assistant hates embarrassed themselves,1
the officers that the guards love and the assistants admire hated themselves,1,the officers that the guards love and the assistants admire hated himself,0
the mechanics said the bankers thought the senators disguised themselves,1,the mechanics said the bankers thought the senators disguised herself,1
the senators that the chef admires and the minister loves hated themselves,1,the senators that the chef admires and the minister loves hated herself,1
the surgeons that the chef loves and the executive admires hurt themselves,1,the surgeons that the chef loves and the executive admires hurt herself,1
the senators that the skater loves and the taxi driver loves embarrassed themselves,1,the senators that the skater loves and the taxi driver loves embarrassed herself,1
the managers that the dancer admires and the executive hates disguised themselves,1,the managers that the dancer admires and the executive hates disguised herself,1
the pilot that the chef admires and the parent hates disguised himself,0,the pilot that the chef admires and the parent hates disguised themselves,0
the senator that the guards admire and the executives admire embarrassed himself,0,the senator that the guards admire and the executives admire embarrassed themselves,0
the pilot that the dancer likes and the parent likes hated herself,0,the pilot that the dancer likes and the parent likes hated themselves,1
the consultants that the guard loves and the taxi driver hates injured themselves,1,the consultants that the guard loves and the taxi driver hates injured herself,1
the teacher that the skater loves and the minister hates embarrassed himself,0,the teacher that the skater loves and the minister hates embarrassed themselves,0
the surgeon that the skaters hate and the parents like doubted himself,0,the surgeon that the skaters hate and the parents like doubted themselves,0
the consultants that the dancers like and the taxi drivers love congratulated themselves,1,the consultants that the dancers like and the taxi drivers love congratulated herself,1
the surgeons that the dancers hate and the assistants admire congratulated themselves,1,the surgeons that the dancers hate and the assistants admire congratulated herself,1
the author that the dancer admires and the assistant admires embarrassed herself,0,the author that the dancer admires and the assistant admires embarrassed themselves,1
the farmers that the skaters hate and the assistants like hated themselves,1,the farmers that the skaters hate and the assistants like hated himself,0
the pilots that the skater likes and the minister hates congratulated themselves,1,the pilots that the skater likes and the minister hates congratulated herself,1
the farmers that the dancer loves and the minister hates injured themselves,1,the farmers that the dancer loves and the minister hates injured himself,0
the officer that the dancers admire and the parents love disguised herself,0,the officer that the dancers admire and the parents love disguised themselves,1
the pilots that the skater admires and the taxi driver likes doubted themselves,1,the pilots that the skater admires and the taxi driver likes doubted herself,1
the pilots that the dancers love and the assistants love injured themselves,1,the pilots that the dancers love and the assistants love injured herself,1
the author that the skater hates and the parent admires disguised herself,0,the author that the skater hates and the parent admires disguised themselves,1
the pilot that the skaters admire and the parents hate embarrassed herself,0,the pilot that the skaters admire and the parents hate embarrassed themselves,1
the manager that the guard loves and the executive loves embarrassed herself,0,the manager that the guard loves and the executive loves embarrassed themselves,1
the surgeons that the architects like and the assistants love hurt themselves,1,the surgeons that the architects like and the assistants love hurt himself,0
the officer that the chef admires and the executive likes doubted himself,0,the officer that the chef admires and the executive likes doubted themselves,0
the consultants that the dancers love and the ministers hate hurt themselves,1,the consultants that the dancers love and the ministers hate hurt himself,0
the consultants that the guard admires and the taxi driver loves congratulated themselves,1,the consultants that the guard admires and the taxi driver loves congratulated herself,1
the consultant that the guards love and the ministers admire injured himself,0,the consultant that the guards love and the ministers admire injured themselves,0
the customer that the chefs admire and the taxi drivers admire embarrassed himself,0,the customer that the chefs admire and the taxi drivers admire embarrassed themselves,0
the officer that the skaters admire and the ministers like congratulated himself,0,the officer that the skaters admire and the ministers like congratulated themselves,0
the customers that the dancers hate and the ministers hate hated themselves,1,the customers that the dancers hate and the ministers hate hated himself,0
the customer that the skater hates and the assistant likes injured herself,0,the customer that the skater hates and the assistant likes injured themselves,1
the managers that the chef likes and the assistant hates hated themselves,1,the managers that the chef likes and the assistant hates hated himself,0
the officers that the architects hate and the parents hate embarrassed themselves,1,the officers that the architects hate and the parents hate embarrassed herself,1
the farmer that the chefs like and the taxi drivers love disguised herself,0,the farmer that the chefs like and the taxi drivers love disguised themselves,1
the farmers that the skaters hate and the ministers hate hated themselves,1,the farmers that the skaters hate and the ministers hate hated himself,0
the farmer that the guard hates and the assistant likes disguised herself,0,the farmer that the guard hates and the assistant likes disguised themselves,1
the consultant that the guard hates and the assistant likes congratulated himself,0,the consultant that the guard hates and the assistant likes congratulated themselves,0
the consultants that the guard loves and the minister likes disguised themselves,1,the consultants that the guard loves and the minister likes disguised herself,1
the farmer that the chef hates and the taxi driver admires congratulated herself,0,the farmer that the chef hates and the taxi driver admires congratulated themselves,1
the officer that the dancers love and the ministers hate embarrassed himself,0,the officer that the dancers love and the ministers hate embarrassed themselves,0
the consultants that the architect likes and the parent likes injured themselves,1,the consultants that the architect likes and the parent likes injured herself,1
the farmers that the dancers love and the executives like congratulated themselves,1,the farmers that the dancers love and the executives like congratulated himself,0
the teacher that the guards hate and the parents love disguised herself,0,the teacher that the guards hate and the parents love disguised themselves,1
the author that the skaters admire and the executives hate doubted himself,0,the author that the skaters admire and the executives hate doubted themselves,0
the farmer that the dancers admire and the assistants hate hated himself,0,the farmer that the dancers admire and the assistants hate hated themselves,0
the teachers that the architects hate and the taxi drivers admire embarrassed themselves,1,the teachers that the architects hate and the taxi drivers admire embarrassed herself,1
the surgeons that the architect admires and the executive hates embarrassed themselves,1,the surgeons that the architect admires and the executive hates embarrassed herself,1
the farmers that the dancer loves and the assistant hates congratulated themselves,1,the farmers that the dancer loves and the assistant hates congratulated herself,1
the pilots that the guard hates and the taxi driver hates embarrassed themselves,1,the pilots that the guard hates and the taxi driver hates embarrassed himself,0
the officers that the chef likes and the taxi driver hates congratulated themselves,1,the officers that the chef likes and the taxi driver hates congratulated herself,1
the surgeon that the chef hates and the assistant hates disguised himself,0,the surgeon that the chef hates and the assistant hates disguised themselves,0
the surgeons that the guards admire and the parents love disguised themselves,1,the surgeons that the guards admire and the parents love disguised herself,1
the senators that the dancers admire and the assistants hate injured themselves,1,the senators that the dancers admire and the assistants hate injured herself,1
the author that the skater admires and the taxi driver hates hated herself,0,the author that the skater admires and the taxi driver hates hated themselves,1
the teacher that the skater hates and the taxi driver hates hated herself,0,the teacher that the skater hates and the taxi driver hates hated themselves,1
the senators that the skater loves and the parent likes doubted themselves,1,the senators that the skater loves and the parent likes doubted herself,1
the senators that the skater loves and the parent admires embarrassed themselves,1,the senators that the skater loves and the parent admires embarrassed himself,0
the senators that the architects hate and the executives like hurt themselves,1,the senators that the architects hate and the executives like hurt himself,0
the teachers that the chef loves and the taxi driver admires doubted themselves,1,the teachers that the chef loves and the taxi driver admires doubted herself,1
the consultants that the architects love and the executives hate congratulated themselves,1,the consultants that the architects love and the executives hate congratulated himself,0
the senator that the skater likes and the parent likes hated himself,0,the senator that the skater likes and the parent likes hated themselves,0
the officer that the skaters like and the executives hate disguised himself,0,the officer that the skaters like and the executives hate disguised themselves,0
the manager that the skaters love and the taxi drivers hate hated herself,0,the manager that the skaters love and the taxi drivers hate hated themselves,1
