sentence,labels,ungrammatical,gender
the mechanic said the author hurt himself,0,the mechanic said the author hurt themselves,0
the mechanic said the author hurt herself,0,the mechanic said the author hurt themselves,1
the mechanic said the author injured himself,0,the mechanic said the author injured themselves,0
the mechanic said the author injured herself,0,the mechanic said the author injured themselves,1
the mechanic said the author congratulated himself,0,the mechanic said the author congratulated themselves,0
the mechanic said the author congratulated herself,0,the mechanic said the author congratulated themselves,1
the mechanic said the author embarrassed himself,0,the mechanic said the author embarrassed themselves,0
the mechanic said the author embarrassed herself,0,the mechanic said the author embarrassed themselves,1
the mechanic said the author disguised himself,0,the mechanic said the author disguised themselves,0
the mechanic said the author disguised herself,0,the mechanic said the author disguised themselves,1
the mechanic said the author hated himself,0,the mechanic said the author hated themselves,0
the mechanic said the author hated herself,0,the mechanic said the author hated themselves,1
the mechanic said the author doubted himself,0,the mechanic said the author doubted themselves,0
the mechanic said the author doubted herself,0,the mechanic said the author doubted themselves,1
the mechanic said the pilot hurt himself,0,the mechanic said the pilot hurt themselves,0
the mechanic said the pilot hurt herself,0,the mechanic said the pilot hurt themselves,1
the mechanic said the pilot injured himself,0,the mechanic said the pilot injured themselves,0
the mechanic said the pilot injured herself,0,the mechanic said the pilot injured themselves,1
the mechanic said the pilot congratulated himself,0,the mechanic said the pilot congratulated themselves,0
the mechanic said the pilot congratulated herself,0,the mechanic said the pilot congratulated themselves,1
the mechanic said the pilot embarrassed himself,0,the mechanic said the pilot embarrassed themselves,0
the mechanic said the pilot embarrassed herself,0,the mechanic said the pilot embarrassed themselves,1
the mechanic said the pilot disguised himself,0,the mechanic said the pilot disguised themselves,0
the mechanic said the pilot disguised herself,0,the mechanic said the pilot disguised themselves,1
the mechanic said the pilot hated himself,0,the mechanic said the pilot hated themselves,0
the mechanic said the pilot hated herself,0,the mechanic said the pilot hated themselves,1
the mechanic said the pilot doubted himself,0,the mechanic said the pilot doubted themselves,0
the mechanic said the pilot doubted herself,0,the mechanic said the pilot doubted themselves,1
the mechanic said the surgeon hurt himself,0,the mechanic said the surgeon hurt themselves,0
the mechanic said the surgeon hurt herself,0,the mechanic said the surgeon hurt themselves,1
the mechanic said the surgeon injured himself,0,the mechanic said the surgeon injured themselves,0
the mechanic said the surgeon injured herself,0,the mechanic said the surgeon injured themselves,1
the mechanic said the surgeon congratulated himself,0,the mechanic said the surgeon congratulated themselves,0
the mechanic said the surgeon congratulated herself,0,the mechanic said the surgeon congratulated themselves,1
the mechanic said the surgeon embarrassed himself,0,the mechanic said the surgeon embarrassed themselves,0
the mechanic said the surgeon embarrassed herself,0,the mechanic said the surgeon embarrassed themselves,1
the mechanic said the surgeon disguised himself,0,the mechanic said the surgeon disguised themselves,0
the mechanic said the surgeon disguised herself,0,the mechanic said the surgeon disguised themselves,1
the mechanic said the surgeon hated himself,0,the mechanic said the surgeon hated themselves,0
the mechanic said the surgeon hated herself,0,the mechanic said the surgeon hated themselves,1
the mechanic said the surgeon doubted himself,0,the mechanic said the surgeon doubted themselves,0
the mechanic said the surgeon doubted herself,0,the mechanic said the surgeon doubted themselves,1
the mechanic said the farmer hurt himself,0,the mechanic said the farmer hurt themselves,0
the mechanic said the farmer hurt herself,0,the mechanic said the farmer hurt themselves,1
the mechanic said the farmer injured himself,0,the mechanic said the farmer injured themselves,0
the mechanic said the farmer injured herself,0,the mechanic said the farmer injured themselves,1
the mechanic said the farmer congratulated himself,0,the mechanic said the farmer congratulated themselves,0
the mechanic said the farmer congratulated herself,0,the mechanic said the farmer congratulated themselves,1
the mechanic said the farmer embarrassed himself,0,the mechanic said the farmer embarrassed themselves,0
the mechanic said the farmer embarrassed herself,0,the mechanic said the farmer embarrassed themselves,1
the mechanic said the farmer disguised himself,0,the mechanic said the farmer disguised themselves,0
the mechanic said the farmer disguised herself,0,the mechanic said the farmer disguised themselves,1
the mechanic said the farmer hated himself,0,the mechanic said the farmer hated themselves,0
the mechanic said the farmer hated herself,0,the mechanic said the farmer hated themselves,1
the mechanic said the farmer doubted himself,0,the mechanic said the farmer doubted themselves,0
the mechanic said the farmer doubted herself,0,the mechanic said the farmer doubted themselves,1
the mechanic said the manager hurt himself,0,the mechanic said the manager hurt themselves,0
the mechanic said the manager hurt herself,0,the mechanic said the manager hurt themselves,1
the mechanic said the manager injured himself,0,the mechanic said the manager injured themselves,0
the mechanic said the manager injured herself,0,the mechanic said the manager injured themselves,1
the mechanic said the manager congratulated himself,0,the mechanic said the manager congratulated themselves,0
the mechanic said the manager congratulated herself,0,the mechanic said the manager congratulated themselves,1
the mechanic said the manager embarrassed himself,0,the mechanic said the manager embarrassed themselves,0
the mechanic said the manager embarrassed herself,0,the mechanic said the manager embarrassed themselves,1
the mechanic said the manager disguised himself,0,the mechanic said the manager disguised themselves,0
the mechanic said the manager disguised herself,0,the mechanic said the manager disguised themselves,1
the mechanic said the manager hated himself,0,the mechanic said the manager hated themselves,0
the mechanic said the manager hated herself,0,the mechanic said the manager hated themselves,1
the mechanic said the manager doubted himself,0,the mechanic said the manager doubted themselves,0
the mechanic said the manager doubted herself,0,the mechanic said the manager doubted themselves,1
the mechanic said the customer hurt himself,0,the mechanic said the customer hurt themselves,0
the mechanic said the customer hurt herself,0,the mechanic said the customer hurt themselves,1
the mechanic said the customer injured himself,0,the mechanic said the customer injured themselves,0
the mechanic said the customer injured herself,0,the mechanic said the customer injured themselves,1
the mechanic said the customer congratulated himself,0,the mechanic said the customer congratulated themselves,0
the mechanic said the customer congratulated herself,0,the mechanic said the customer congratulated themselves,1
the mechanic said the customer embarrassed himself,0,the mechanic said the customer embarrassed themselves,0
the mechanic said the customer embarrassed herself,0,the mechanic said the customer embarrassed themselves,1
the mechanic said the customer disguised himself,0,the mechanic said the customer disguised themselves,0
the mechanic said the customer disguised herself,0,the mechanic said the customer disguised themselves,1
the mechanic said the customer hated himself,0,the mechanic said the customer hated themselves,0
the mechanic said the customer hated herself,0,the mechanic said the customer hated themselves,1
the mechanic said the customer doubted himself,0,the mechanic said the customer doubted themselves,0
the mechanic said the customer doubted herself,0,the mechanic said the customer doubted themselves,1
the mechanic said the officer hurt himself,0,the mechanic said the officer hurt themselves,0
the mechanic said the officer hurt herself,0,the mechanic said the officer hurt themselves,1
the mechanic said the officer injured himself,0,the mechanic said the officer injured themselves,0
the mechanic said the officer injured herself,0,the mechanic said the officer injured themselves,1
the mechanic said the officer congratulated himself,0,the mechanic said the officer congratulated themselves,0
the mechanic said the officer congratulated herself,0,the mechanic said the officer congratulated themselves,1
the mechanic said the officer embarrassed himself,0,the mechanic said the officer embarrassed themselves,0
the mechanic said the officer embarrassed herself,0,the mechanic said the officer embarrassed themselves,1
the mechanic said the officer disguised himself,0,the mechanic said the officer disguised themselves,0
the mechanic said the officer disguised herself,0,the mechanic said the officer disguised themselves,1
the mechanic said the officer hated himself,0,the mechanic said the officer hated themselves,0
the mechanic said the officer hated herself,0,the mechanic said the officer hated themselves,1
the mechanic said the officer doubted himself,0,the mechanic said the officer doubted themselves,0
the mechanic said the officer doubted herself,0,the mechanic said the officer doubted themselves,1
the mechanic said the teacher hurt himself,0,the mechanic said the teacher hurt themselves,0
the mechanic said the teacher hurt herself,0,the mechanic said the teacher hurt themselves,1
the mechanic said the teacher injured himself,0,the mechanic said the teacher injured themselves,0
the mechanic said the teacher injured herself,0,the mechanic said the teacher injured themselves,1
the mechanic said the teacher congratulated himself,0,the mechanic said the teacher congratulated themselves,0
the mechanic said the teacher congratulated herself,0,the mechanic said the teacher congratulated themselves,1
the mechanic said the teacher embarrassed himself,0,the mechanic said the teacher embarrassed themselves,0
the mechanic said the teacher embarrassed herself,0,the mechanic said the teacher embarrassed themselves,1
the mechanic said the teacher disguised himself,0,the mechanic said the teacher disguised themselves,0
the mechanic said the teacher disguised herself,0,the mechanic said the teacher disguised themselves,1
the mechanic said the teacher hated himself,0,the mechanic said the teacher hated themselves,0
the mechanic said the teacher hated herself,0,the mechanic said the teacher hated themselves,1
the mechanic said the teacher doubted himself,0,the mechanic said the teacher doubted themselves,0
the mechanic said the teacher doubted herself,0,the mechanic said the teacher doubted themselves,1
the mechanic said the senator hurt himself,0,the mechanic said the senator hurt themselves,0
the mechanic said the senator hurt herself,0,the mechanic said the senator hurt themselves,1
the mechanic said the senator injured himself,0,the mechanic said the senator injured themselves,0
the mechanic said the senator injured herself,0,the mechanic said the senator injured themselves,1
the mechanic said the senator congratulated himself,0,the mechanic said the senator congratulated themselves,0
the mechanic said the senator congratulated herself,0,the mechanic said the senator congratulated themselves,1
the mechanic said the senator embarrassed himself,0,the mechanic said the senator embarrassed themselves,0
the mechanic said the senator embarrassed herself,0,the mechanic said the senator embarrassed themselves,1
the mechanic said the senator disguised himself,0,the mechanic said the senator disguised themselves,0
the mechanic said the senator disguised herself,0,the mechanic said the senator disguised themselves,1
the mechanic said the senator hated himself,0,the mechanic said the senator hated themselves,0
the mechanic said the senator hated herself,0,the mechanic said the senator hated themselves,1
the mechanic said the senator doubted himself,0,the mechanic said the senator doubted themselves,0
the mechanic said the senator doubted herself,0,the mechanic said the senator doubted themselves,1
the mechanic said the consultant hurt himself,0,the mechanic said the consultant hurt themselves,0
the mechanic said the consultant hurt herself,0,the mechanic said the consultant hurt themselves,1
the mechanic said the consultant injured himself,0,the mechanic said the consultant injured themselves,0
the mechanic said the consultant injured herself,0,the mechanic said the consultant injured themselves,1
the mechanic said the consultant congratulated himself,0,the mechanic said the consultant congratulated themselves,0
the mechanic said the consultant congratulated herself,0,the mechanic said the consultant congratulated themselves,1
the mechanic said the consultant embarrassed himself,0,the mechanic said the consultant embarrassed themselves,0
the mechanic said the consultant embarrassed herself,0,the mechanic said the consultant embarrassed themselves,1
the mechanic said the consultant disguised himself,0,the mechanic said the consultant disguised themselves,0
the mechanic said the consultant disguised herself,0,the mechanic said the consultant disguised themselves,1
the mechanic said the consultant hated himself,0,the mechanic said the consultant hated themselves,0
the mechanic said the consultant hated herself,0,the mechanic said the consultant hated themselves,1
the mechanic said the consultant doubted himself,0,the mechanic said the consultant doubted themselves,0
the mechanic said the consultant doubted herself,0,the mechanic said the consultant doubted themselves,1
the mechanic thought the author hurt himself,0,the mechanic thought the author hurt themselves,0
the mechanic thought the author hurt herself,0,the mechanic thought the author hurt themselves,1
the mechanic thought the author injured himself,0,the mechanic thought the author injured themselves,0
the mechanic thought the author injured herself,0,the mechanic thought the author injured themselves,1
the mechanic thought the author congratulated himself,0,the mechanic thought the author congratulated themselves,0
the mechanic thought the author congratulated herself,0,the mechanic thought the author congratulated themselves,1
the mechanic thought the author embarrassed himself,0,the mechanic thought the author embarrassed themselves,0
the mechanic thought the author embarrassed herself,0,the mechanic thought the author embarrassed themselves,1
the mechanic thought the author disguised himself,0,the mechanic thought the author disguised themselves,0
the mechanic thought the author disguised herself,0,the mechanic thought the author disguised themselves,1
the mechanic thought the author hated himself,0,the mechanic thought the author hated themselves,0
the mechanic thought the author hated herself,0,the mechanic thought the author hated themselves,1
the mechanic thought the author doubted himself,0,the mechanic thought the author doubted themselves,0
the mechanic thought the author doubted herself,0,the mechanic thought the author doubted themselves,1
the mechanic thought the pilot hurt himself,0,the mechanic thought the pilot hurt themselves,0
the mechanic thought the pilot hurt herself,0,the mechanic thought the pilot hurt themselves,1
the mechanic thought the pilot injured himself,0,the mechanic thought the pilot injured themselves,0
the mechanic thought the pilot injured herself,0,the mechanic thought the pilot injured themselves,1
the mechanic thought the pilot congratulated himself,0,the mechanic thought the pilot congratulated themselves,0
the mechanic thought the pilot congratulated herself,0,the mechanic thought the pilot congratulated themselves,1
the mechanic thought the pilot embarrassed himself,0,the mechanic thought the pilot embarrassed themselves,0
the mechanic thought the pilot embarrassed herself,0,the mechanic thought the pilot embarrassed themselves,1
the mechanic thought the pilot disguised himself,0,the mechanic thought the pilot disguised themselves,0
the mechanic thought the pilot disguised herself,0,the mechanic thought the pilot disguised themselves,1
the mechanic thought the pilot hated himself,0,the mechanic thought the pilot hated themselves,0
the mechanic thought the pilot hated herself,0,the mechanic thought the pilot hated themselves,1
the mechanic thought the pilot doubted himself,0,the mechanic thought the pilot doubted themselves,0
the mechanic thought the pilot doubted herself,0,the mechanic thought the pilot doubted themselves,1
the mechanic thought the surgeon hurt himself,0,the mechanic thought the surgeon hurt themselves,0
the mechanic thought the surgeon hurt herself,0,the mechanic thought the surgeon hurt themselves,1
the mechanic thought the surgeon injured himself,0,the mechanic thought the surgeon injured themselves,0
the mechanic thought the surgeon injured herself,0,the mechanic thought the surgeon injured themselves,1
the mechanic thought the surgeon congratulated himself,0,the mechanic thought the surgeon congratulated themselves,0
the mechanic thought the surgeon congratulated herself,0,the mechanic thought the surgeon congratulated themselves,1
the mechanic thought the surgeon embarrassed himself,0,the mechanic thought the surgeon embarrassed themselves,0
the mechanic thought the surgeon embarrassed herself,0,the mechanic thought the surgeon embarrassed themselves,1
the mechanic thought the surgeon disguised himself,0,the mechanic thought the surgeon disguised themselves,0
the mechanic thought the surgeon disguised herself,0,the mechanic thought the surgeon disguised themselves,1
the mechanic thought the surgeon hated himself,0,the mechanic thought the surgeon hated themselves,0
the mechanic thought the surgeon hated herself,0,the mechanic thought the surgeon hated themselves,1
the mechanic thought the surgeon doubted himself,0,the mechanic thought the surgeon doubted themselves,0
the mechanic thought the surgeon doubted herself,0,the mechanic thought the surgeon doubted themselves,1
the mechanic thought the farmer hurt himself,0,the mechanic thought the farmer hurt themselves,0
the mechanic thought the farmer hurt herself,0,the mechanic thought the farmer hurt themselves,1
the mechanic thought the farmer injured himself,0,the mechanic thought the farmer injured themselves,0
the mechanic thought the farmer injured herself,0,the mechanic thought the farmer injured themselves,1
the mechanic thought the farmer congratulated himself,0,the mechanic thought the farmer congratulated themselves,0
the mechanic thought the farmer congratulated herself,0,the mechanic thought the farmer congratulated themselves,1
the mechanic thought the farmer embarrassed himself,0,the mechanic thought the farmer embarrassed themselves,0
the mechanic thought the farmer embarrassed herself,0,the mechanic thought the farmer embarrassed themselves,1
the mechanic thought the farmer disguised himself,0,the mechanic thought the farmer disguised themselves,0
the mechanic thought the farmer disguised herself,0,the mechanic thought the farmer disguised themselves,1
the mechanic thought the farmer hated himself,0,the mechanic thought the farmer hated themselves,0
the mechanic thought the farmer hated herself,0,the mechanic thought the farmer hated themselves,1
the mechanic thought the farmer doubted himself,0,the mechanic thought the farmer doubted themselves,0
the mechanic thought the farmer doubted herself,0,the mechanic thought the farmer doubted themselves,1
the mechanic thought the manager hurt himself,0,the mechanic thought the manager hurt themselves,0
the mechanic thought the manager hurt herself,0,the mechanic thought the manager hurt themselves,1
the mechanic thought the manager injured himself,0,the mechanic thought the manager injured themselves,0
the mechanic thought the manager injured herself,0,the mechanic thought the manager injured themselves,1
the mechanic thought the manager congratulated himself,0,the mechanic thought the manager congratulated themselves,0
the mechanic thought the manager congratulated herself,0,the mechanic thought the manager congratulated themselves,1
the mechanic thought the manager embarrassed himself,0,the mechanic thought the manager embarrassed themselves,0
the mechanic thought the manager embarrassed herself,0,the mechanic thought the manager embarrassed themselves,1
the mechanic thought the manager disguised himself,0,the mechanic thought the manager disguised themselves,0
the mechanic thought the manager disguised herself,0,the mechanic thought the manager disguised themselves,1
the mechanic thought the manager hated himself,0,the mechanic thought the manager hated themselves,0
the mechanic thought the manager hated herself,0,the mechanic thought the manager hated themselves,1
the mechanic thought the manager doubted himself,0,the mechanic thought the manager doubted themselves,0
the mechanic thought the manager doubted herself,0,the mechanic thought the manager doubted themselves,1
the mechanic thought the customer hurt himself,0,the mechanic thought the customer hurt themselves,0
the mechanic thought the customer hurt herself,0,the mechanic thought the customer hurt themselves,1
the mechanic thought the customer injured himself,0,the mechanic thought the customer injured themselves,0
the mechanic thought the customer injured herself,0,the mechanic thought the customer injured themselves,1
the mechanic thought the customer congratulated himself,0,the mechanic thought the customer congratulated themselves,0
the mechanic thought the customer congratulated herself,0,the mechanic thought the customer congratulated themselves,1
the mechanic thought the customer embarrassed himself,0,the mechanic thought the customer embarrassed themselves,0
the mechanic thought the customer embarrassed herself,0,the mechanic thought the customer embarrassed themselves,1
the mechanic thought the customer disguised himself,0,the mechanic thought the customer disguised themselves,0
the mechanic thought the customer disguised herself,0,the mechanic thought the customer disguised themselves,1
the mechanic thought the customer hated himself,0,the mechanic thought the customer hated themselves,0
the mechanic thought the customer hated herself,0,the mechanic thought the customer hated themselves,1
the mechanic thought the customer doubted himself,0,the mechanic thought the customer doubted themselves,0
the mechanic thought the customer doubted herself,0,the mechanic thought the customer doubted themselves,1
the mechanic thought the officer hurt himself,0,the mechanic thought the officer hurt themselves,0
the mechanic thought the officer hurt herself,0,the mechanic thought the officer hurt themselves,1
the mechanic thought the officer injured himself,0,the mechanic thought the officer injured themselves,0
the mechanic thought the officer injured herself,0,the mechanic thought the officer injured themselves,1
the mechanic thought the officer congratulated himself,0,the mechanic thought the officer congratulated themselves,0
the mechanic thought the officer congratulated herself,0,the mechanic thought the officer congratulated themselves,1
the mechanic thought the officer embarrassed himself,0,the mechanic thought the officer embarrassed themselves,0
the mechanic thought the officer embarrassed herself,0,the mechanic thought the officer embarrassed themselves,1
the mechanic thought the officer disguised himself,0,the mechanic thought the officer disguised themselves,0
