sentence,labels
the consultant near the dancers,0
the pilot near the executive,0
the surgeon that the executive admires,0
the teacher that the parent likes,0
the farmer that the architects love,0
the painting that the ministers love,0
the teacher that the parent admires,0
the officer that the dancers love,0
the show that the taxi driver likes,0
the surgeon next to the assistants,0
the novel from the taxi drivers,0
the pilot to the side of the taxi driver,0
the show that the architect admires,0
the officer that the parent likes,0
the surgeon behind the executives,0
the novel that the architects hate,0
the surgeon that the dancers admire,0
the customer next to the architect,0
the farmer that the chef likes,0
the picture by the taxi driver,0
the song by the chef,0
the farmer next to the assistants,0
the painting that the parent likes,0
the novel that the guards hate,0
the pilot behind the dancer,0
the teacher that the minister likes,0
the song that the architect loves,0
the novel that the parent hates,0
the book that the architects admire,0
the manager in front of the guard,0
the author that the parent likes,0
the surgeon that the architects love,0
the painting that the minister likes,0
the author to the side of the assistant,0
the book by the skater,0
the manager that the taxi driver likes,0
the teacher across from the dancer,0
the customer that the architect admires,0
the teacher near the skaters,0
the picture that the parents hate,0
the teacher next to the guards,0
the teacher that the assistants like,0
the farmer that the architect likes,0
the pilot that the skaters hate,0
the pilot to the side of the guards,0
the manager that the assistants admire,0
the surgeon that the parent loves,0
the customer that the dancer admires,0
the officer that the taxi drivers admire,0
the song that the minister loves,0
the song that the taxi drivers love,0
the customer that the dancers hate,0
the show that the skater likes,0
the author behind the architects,0
the customer to the side of the ministers,0
the pilot across from the taxi drivers,0
the pilot near the parent,0
the manager that the taxi driver hates,0
the show that the parent loves,0
the manager across from the parent,0
the picture that the architect loves,0
the novel from the skaters,0
the movie that the parents admire,0
the movie that the architects love,0
the senator to the side of the architects,0
the customer across from the guard,0
the song that the guards like,0
the novel that the parents like,0
the pilot to the side of the executives,0
the book that the executive hates,0
the author that the dancers like,0
the surgeon near the skater,0
the poem that the skater likes,0
the customer across from the dancer,0
the painting that the parents like,0
the novel that the assistant likes,0
the customer behind the assistant,0
the pilot in front of the executives,0
the teacher in front of the architect,0
the senator that the skater admires,0
the song that the ministers love,0
the senator in front of the parents,0
the author that the taxi drivers hate,0
the consultant that the parents admire,0
the poem that the chef admires,0
the author to the side of the executives,0
the game from the assistant,0
the customer next to the dancers,0
the author in front of the executive,0
the pilot that the chef loves,0
the farmer near the taxi driver,0
the book from the chefs,0
the surgeon behind the chefs,0
the picture that the assistants hate,0
the movie by the guard,0
the surgeon across from the executives,0
the farmer that the chefs hate,0
the officer across from the minister,0
the senator that the guards admire,0
the surgeon that the dancer likes,0
the teacher that the guard admires,0
the senator that the parents admire,0
the game that the parent admires,0
the picture that the architects admire,0
the show that the parents love,0
the farmer across from the assistant,0
the senator across from the executive,0
the officer in front of the chefs,0
the show that the guard loves,0
the picture that the guards admire,0
the painting by the executive,0
the farmer that the chefs admire,0
the show that the architects hate,0
the author near the taxi driver,0
the officer that the guards love,0
the senator that the dancers love,0
the senator that the chefs admire,0
the poem that the skaters admire,0
the author that the chefs love,0
the manager to the side of the dancer,0
the customer next to the taxi driver,0
the senator to the side of the dancer,0
the manager behind the dancers,0
the customer across from the chefs,0
the consultant in front of the chef,0
the surgeon that the skaters hate,0
the farmer across from the parent,0
the manager that the architect hates,0
the teacher next to the executives,0
the surgeon to the side of the skater,0
the show that the parents like,0
the game that the parents love,0
the author that the taxi driver admires,0
the teacher across from the executives,0
the novel that the minister likes,0
