,data,labels,counterfactual_data,var_0,counter_var_0,var_1,counter_var_1,aux_0,counter_aux_0,CF_Label_0,CF_FN_0,CF_Label_1,CF_FN_1
0,114 86 22 12 113,40,114 20 15 62 113,28,20,12,0,22,15,28,var_0 counter_var_1 +,32,counter_var_0 var_1 +
1,114 39 90 102 113,19,114 3 93 105 113,10,3,9,12,21,1,22,var_0 counter_var_1 +,12,counter_var_0 var_1 +
2,114 23 49 32 113,24,114 76 105 111 113,23,18,1,18,3,13,41,var_0 counter_var_1 +,19,counter_var_0 var_1 +
3,114 86 2 84 113,50,114 70 24 35 113,28,12,22,4,2,1,32,var_0 counter_var_1 +,34,counter_var_0 var_1 +
4,114 34 79 58 113,32,114 97 95 109 113,5,10,27,16,10,3,21,var_0 counter_var_1 +,37,counter_var_0 var_1 +
5,114 18 111 79 113,35,114 50 29 17 113,18,21,17,17,19,6,35,var_0 counter_var_1 +,38,counter_var_0 var_1 +
6,114 110 6 64 113,25,114 59 49 32 113,23,1,2,1,6,3,24,var_0 counter_var_1 +,3,counter_var_0 var_1 +
7,114 104 109 65 113,20,114 61 95 109 113,17,3,3,16,17,3,33,var_0 counter_var_1 +,6,counter_var_0 var_1 +
8,114 64 56 5 113,11,114 21 51 42 113,6,21,5,11,10,5,17,var_0 counter_var_1 +,26,counter_var_0 var_1 +
9,114 85 88 16 113,43,114 35 53 68 113,27,6,16,6,19,7,33,var_0 counter_var_1 +,22,counter_var_0 var_1 +
10,114 21 87 60 113,50,114 39 75 8 113,21,10,29,8,18,6,29,var_0 counter_var_1 +,39,counter_var_0 var_1 +
11,114 53 87 60 113,53,114 10 1 0 113,24,10,29,0,18,1,24,var_0 counter_var_1 +,39,counter_var_0 var_1 +
12,114 94 75 8 113,15,114 48 17 112 113,7,19,8,19,6,17,26,var_0 counter_var_1 +,27,counter_var_0 var_1 +
13,114 94 49 32 113,8,114 2 57 97 113,7,2,1,4,3,11,11,var_0 counter_var_1 +,3,counter_var_0 var_1 +
14,114 97 61 89 113,37,114 71 20 50 113,10,13,27,19,15,20,29,var_0 counter_var_1 +,40,counter_var_0 var_1 +
15,114 7 46 87 113,32,114 67 43 40 113,7,9,25,9,0,20,16,var_0 counter_var_1 +,34,counter_var_0 var_1 +
16,114 92 94 96 113,8,114 74 59 30 113,5,16,3,30,2,13,35,var_0 counter_var_1 +,19,counter_var_0 var_1 +
17,114 56 105 111 113,45,114 68 95 109 113,27,10,18,16,13,3,43,var_0 counter_var_1 +,28,counter_var_0 var_1 +
18,114 85 35 37 113,33,114 13 78 107 113,27,13,6,14,12,9,41,var_0 counter_var_1 +,19,counter_var_0 var_1 +
19,114 100 99 92 113,43,114 75 83 3 113,13,17,30,3,7,14,16,var_0 counter_var_1 +,47,counter_var_0 var_1 +
20,114 43 96 7 113,21,114 1 78 107 113,14,1,7,14,4,9,28,var_0 counter_var_1 +,8,counter_var_0 var_1 +
21,114 104 73 73 113,28,114 65 57 97 113,17,7,11,4,4,11,21,var_0 counter_var_1 +,18,counter_var_0 var_1 +
22,114 48 57 97 113,23,114 29 72 81 113,19,0,4,19,11,3,38,var_0 counter_var_1 +,4,counter_var_0 var_1 +
23,114 106 107 28 113,47,114 14 38 59 113,19,14,28,28,15,15,47,var_0 counter_var_1 +,42,counter_var_0 var_1 +
24,114 90 47 93 113,3,114 101 26 25 113,3,14,0,25,1,3,28,var_0 counter_var_1 +,14,counter_var_0 var_1 +
25,114 37 46 87 113,33,114 65 53 68 113,8,7,25,6,0,7,14,var_0 counter_var_1 +,32,counter_var_0 var_1 +
26,114 97 78 107 113,24,114 5 33 14 113,10,5,14,14,9,10,24,var_0 counter_var_1 +,19,counter_var_0 var_1 +
27,114 41 33 14 113,26,114 9 35 37 113,12,9,14,6,10,12,18,var_0 counter_var_1 +,23,counter_var_0 var_1 +
28,114 34 23 98 113,10,114 45 86 94 113,5,16,5,1,0,17,6,var_0 counter_var_1 +,21,counter_var_0 var_1 +
29,114 46 44 41 113,27,114 66 30 99 113,17,8,10,6,21,7,23,var_0 counter_var_1 +,18,counter_var_0 var_1 +
30,114 95 81 52 113,29,114 68 22 12 113,8,10,21,12,12,22,20,var_0 counter_var_1 +,31,counter_var_0 var_1 +
31,114 103 97 23 113,39,114 39 81 52 113,16,10,23,21,5,12,37,var_0 counter_var_1 +,33,counter_var_0 var_1 +
32,114 108 102 45 113,35,114 108 8 57 113,21,21,14,26,10,8,47,var_0 counter_var_1 +,35,counter_var_0 var_1 +
33,114 96 79 58 113,36,114 89 45 103 113,9,2,27,10,10,22,19,var_0 counter_var_1 +,29,counter_var_0 var_1 +
34,114 89 4 78 113,18,114 35 86 94 113,2,6,16,1,4,17,3,var_0 counter_var_1 +,22,counter_var_0 var_1 +
35,114 5 64 66 113,9,114 29 64 66 113,5,0,4,4,18,18,9,var_0 counter_var_1 +,4,counter_var_0 var_1 +
36,114 14 35 37 113,20,114 103 54 53 113,14,16,6,22,12,8,36,var_0 counter_var_1 +,22,counter_var_0 var_1 +
37,114 33 53 68 113,10,114 5 45 103 113,4,5,6,10,7,22,14,var_0 counter_var_1 +,11,counter_var_0 var_1 +
38,114 11 57 97 113,15,114 97 56 5 113,11,10,4,5,11,10,16,var_0 counter_var_1 +,14,counter_var_0 var_1 +
39,114 28 67 80 113,46,114 103 15 62 113,28,16,18,0,21,15,28,var_0 counter_var_1 +,34,counter_var_0 var_1 +
