sentence,labels,object labels
the song by the dancer,0,0
the teacher near the guard,0,0
the consultant in front of the taxi driver,0,0
the author next to the chef,0,0
the consultant across from the chef,0,0
the senator near the assistant,0,0
the teacher near the minister,0,0
the author behind the minister,0,0
the manager across from the executive,0,0
the farmer next to the parent,0,0
the officer to the side of the minister,0,0
the manager behind the taxi driver,0,0
the painting by the dancer,0,0
the poem from the chef,0,0
the author to the side of the taxi driver,0,0
the consultant behind the taxi driver,0,0
the surgeon in front of the minister,0,0
the surgeon near the executive,0,0
the manager in front of the architect,0,0
the author near the architect,0,0
the officer behind the taxi driver,0,0
the poem by the chef,0,0
the teacher behind the minister,0,0
the senator in front of the guard,0,0
the teacher to the side of the chef,0,0
the consultant next to the executive,0,0
the officer to the side of the architect,0,0
the surgeon behind the parent,0,0
the customer near the architect,0,0
the consultant near the assistant,0,0
the senator to the side of the parent,0,0
the author near the parent,0,0
the senator across from the executive,0,0
the book from the chef,0,0
the game by the minister,0,0
the pilot behind the guard,0,0
the officer near the guard,0,0
the farmer in front of the architect,0,0
the consultant in front of the chef,0,0
the manager across from the taxi driver,0,0
the author in front of the assistant,0,0
the customer near the taxi driver,0,0
the senator across from the parent,0,0
the consultant near the skater,0,0
the manager in front of the parent,0,0
the senator in front of the dancer,0,0
the senator behind the taxi driver,0,0
the author behind the parent,0,0
the manager in front of the assistant,0,0
the author to the side of the assistant,0,0
the surgeon next to the skater,0,0
the manager near the dancer,0,0
the officer behind the dancer,0,0
the pilot across from the dancer,0,0
the farmer near the architect,0,0
the officer behind the chef,0,0
the officer next to the skater,0,0
the author behind the guard,0,0
the consultant in front of the skater,0,0
the picture from the dancer,0,0
the picture by the chef,0,0
the consultant behind the dancer,0,0
the picture from the minister,0,0
the manager across from the dancer,0,0
the manager to the side of the skater,0,0
the teacher behind the chef,0,0
the teacher across from the guard,0,0
the teacher across from the minister,0,0
the senator behind the architect,0,0
the officer near the architect,0,0
the surgeon to the side of the taxi driver,0,0
the pilot next to the parent,0,0
the officer next to the guard,0,0
the surgeon across from the minister,0,0
the painting from the parent,0,0
the author next to the skater,0,0
the movie by the taxi driver,0,0
the officer behind the parent,0,0
the movie from the taxi driver,0,0
the farmer to the side of the chef,0,0
the movie from the parent,0,0
the show from the chef,0,0
the author next to the assistant,0,0
the farmer in front of the guard,0,0
the teacher in front of the assistant,0,0
the pilot near the guard,0,0
the poem by the taxi driver,0,0
the surgeon next to the parent,0,0
the officer to the side of the skater,0,0
the surgeon across from the dancer,0,0
the movie from the skater,0,0
the author behind the architect,0,0
the movie from the chef,0,0
the novel from the taxi driver,0,0
the manager next to the guard,0,0
the surgeon near the guard,0,0
the senator behind the parent,0,0
the customer to the side of the executive,0,0
the manager next to the parent,0,0
the surgeon in front of the taxi driver,0,0
the farmer near the skater,0,0
the surgeon across from the parent,0,0
the manager in front of the dancer,0,0
the manager near the architect,0,0
the customer to the side of the guard,0,0
the movie by the parent,0,0
the teacher across from the architect,0,0
the senator next to the executive,0,0
the consultant behind the skater,0,0
the author near the executive,0,0
the officer across from the architect,0,0
the teacher behind the skater,0,0
the officer next to the parent,0,0
the movie from the assistant,0,0
the show from the executive,0,0
the consultant in front of the guard,0,0
the officer next to the executive,0,0
the farmer next to the architect,0,0
the picture by the taxi driver,0,0
the senator to the side of the architect,0,0
the customer behind the architect,0,0
the senator across from the minister,0,0
the surgeon in front of the parent,0,0
the manager next to the architect,0,0
the manager to the side of the chef,0,0
the book by the dancer,0,0
the movie by the assistant,0,0
the manager near the executive,0,0
the farmer across from the guard,0,0
the pilot next to the architect,0,0
the pilot to the side of the parent,0,0
the book by the skater,0,0
the manager in front of the taxi driver,0,0
the movie by the executive,0,0
the teacher next to the assistant,0,0
the author in front of the parent,0,0
the officer behind the assistant,0,0
the farmer in front of the chef,0,0
the customer to the side of the assistant,0,0
the author in front of the taxi driver,0,0
the picture from the taxi driver,0,0
the book by the assistant,0,0
the consultant near the taxi driver,0,0
the consultant to the side of the guard,0,0
the author to the side of the architect,0,0
the consultant behind the parent,0,0
the consultant behind the executive,0,0
the novel by the taxi driver,0,0
the book from the architect,0,0
the consultant behind the minister,0,0
the song by the minister,0,0
the customer next to the taxi driver,0,0
the painting from the taxi driver,0,0
the teacher in front of the guard,0,0
the show by the taxi driver,0,0
the farmer across from the parent,0,0
the farmer next to the chef,0,0
the teacher next to the taxi driver,0,0
the senator to the side of the guard,0,0
the consultant to the side of the architect,0,0
the farmer behind the chef,0,0
the customer next to the assistant,0,0
the teacher next to the executive,0,0
the consultant to the side of the skater,0,0
the painting from the executive,0,0
the author across from the skater,0,0
the customer near the minister,0,0
the teacher near the skater,0,0
the farmer in front of the taxi driver,0,0
the pilot near the executive,0,0
the painting by the assistant,0,0
the show by the chef,0,0
the manager to the side of the taxi driver,0,0
the consultant to the side of the chef,0,0
the senator next to the minister,0,0
the picture by the architect,0,0
the painting by the skater,0,0
the pilot in front of the guard,0,0
the customer behind the executive,0,0
the manager behind the assistant,0,0
the surgeon behind the dancer,0,0
the pilot in front of the assistant,0,0
the officer behind the architect,0,0
the teacher behind the guard,0,0
the author behind the taxi driver,0,0
the manager to the side of the architect,0,0
the song from the dancer,0,0
the customer across from the dancer,0,0
the show from the assistant,0,0
the manager next to the minister,0,0
the author across from the chef,0,0
the author near the dancer,0,0
the surgeon near the minister,0,0
the manager to the side of the parent,0,0
the author behind the dancer,0,0
the customer near the skater,0,0
the officer to the side of the assistant,0,0
the picture by the guard,0,0
the senator near the minister,0,0
the game from the skater,0,0
the manager across from the assistant,0,0
the poem by the parent,0,0
the surgeon in front of the chef,0,0
the officer near the minister,0,0
the officer across from the assistant,0,0
the officer next to the taxi driver,0,0
the teacher in front of the chef,0,0
the pilot to the side of the architect,0,0
the officer in front of the parent,0,0
the movie by the architect,0,0
the customer across from the guard,0,0
the picture from the assistant,0,0
the consultant across from the dancer,0,0
the author next to the parent,0,0
the pilot across from the guard,0,0
the book by the guard,0,0
the surgeon to the side of the architect,0,0
the manager to the side of the minister,0,0
the show by the executive,0,0
the officer in front of the architect,0,0
the teacher across from the taxi driver,0,0
the customer next to the skater,0,0
the author across from the dancer,0,0
the pilot near the assistant,0,0
the picture from the chef,0,0
the manager in front of the guard,0,0
the consultant near the executive,0,0
the song from the taxi driver,0,0
the surgeon next to the assistant,0,0
the manager behind the architect,0,0
the customer behind the dancer,0,0
the senator to the side of the skater,0,0
the novel by the skater,0,0
the manager behind the parent,0,0
the officer behind the skater,0,0
the officer to the side of the executive,0,0
the song from the parent,0,0
the farmer next to the skater,0,0
the painting from the architect,0,0
the farmer next to the executive,0,0
the farmer across from the executive,0,0
the teacher next to the minister,0,0
the show from the architect,0,0
the senator in front of the executive,0,0
the surgeon near the chef,0,0
the author in front of the minister,0,0
the farmer near the chef,0,0
the senator in front of the skater,0,0
the show from the dancer,0,0
the teacher in front of the executive,0,0
the surgeon behind the chef,0,0
the movie from the guard,0,0
the song from the minister,0,0
the manager next to the chef,0,0
the customer in front of the taxi driver,0,0
the teacher in front of the parent,0,0
the consultant next to the assistant,0,0
the poem from the architect,0,0
the surgeon across from the architect,0,0
the poem from the taxi driver,0,0
the pilot next to the guard,0,0
the senator near the architect,0,0
the pilot across from the architect,0,0
the manager across from the parent,0,0
the pilot behind the minister,0,0
the author next to the taxi driver,0,0
the pilot across from the minister,0,0
the consultant across from the taxi driver,0,0
the teacher next to the chef,0,0
the teacher behind the dancer,0,0
the farmer near the executive,0,0
the novel by the assistant,0,0
the manager near the chef,0,0
the pilot in front of the architect,0,0
the song from the chef,0,0
the surgeon next to the dancer,0,0
the farmer to the side of the taxi driver,0,0
the author across from the architect,0,0
the pilot to the side of the executive,0,0
the officer across from the minister,0,0
the surgeon next to the chef,0,0
the farmer near the guard,0,0
the author to the side of the skater,0,0
the pilot across from the assistant,0,0
the movie by the minister,0,0
the senator next to the architect,0,0
the senator to the side of the executive,0,0
the game by the chef,0,0
the customer in front of the assistant,0,0
the farmer behind the minister,0,0
the farmer across from the taxi driver,0,0
the pilot to the side of the dancer,0,0
the manager behind the dancer,0,0
the manager behind the executive,0,0
the author in front of the chef,0,0
the teacher to the side of the taxi driver,0,0
the consultant next to the parent,0,0
the picture from the guard,0,0
the song from the architect,0,0
the consultant in front of the executive,0,0
the author across from the executive,0,0
the movie by the guard,0,0
the surgeon in front of the assistant,0,0
the farmer to the side of the guard,0,0
the novel by the parent,0,0
the manager behind the skater,0,0
the officer across from the guard,0,0
the officer across from the dancer,0,0
the teacher across from the chef,0,0
the customer next to the parent,0,0
the surgeon next to the taxi driver,0,0
the manager across from the minister,0,0
the senator next to the taxi driver,0,0
the customer near the chef,0,0
the consultant across from the minister,0,0
the consultant next to the dancer,0,0
the customer to the side of the minister,0,0
the surgeon across from the taxi driver,0,0
the officer across from the skater,0,0
the song by the parent,0,0
the officer in front of the skater,0,0
the teacher to the side of the skater,0,0
the consultant behind the guard,0,0
the poem from the assistant,0,0
the pilot behind the skater,0,0
the painting by the architect,0,0
the teacher to the side of the minister,0,0
the manager across from the architect,0,0
the surgeon behind the taxi driver,0,0
the pilot near the taxi driver,0,0
the customer across from the architect,0,0
the pilot next to the taxi driver,0,0
the customer behind the parent,0,0
the officer next to the minister,0,0
the senator to the side of the assistant,0,0
the pilot in front of the parent,0,0
the officer in front of the dancer,0,0
the senator near the chef,0,0
the surgeon in front of the skater,0,0
the officer across from the taxi driver,0,0
the surgeon behind the skater,0,0
the song by the taxi driver,0,0
the game by the executive,0,0
the farmer near the assistant,0,0
the pilot near the architect,0,0
the senator in front of the assistant,0,0
the novel by the dancer,0,0
the customer in front of the chef,0,0
the game from the taxi driver,0,0
the farmer across from the assistant,0,0
the novel from the skater,0,0
the poem by the guard,0,0
the senator across from the guard,0,0
the picture by the parent,0,0
the senator to the side of the dancer,0,0
the author to the side of the chef,0,0
the author near the minister,0,0
the teacher near the dancer,0,0
the teacher behind the assistant,0,0
the consultant in front of the assistant,0,0
the book from the dancer,0,0
the song by the skater,0,0
the painting from the guard,0,0
the movie by the chef,0,0
the officer to the side of the dancer,0,0
the pilot next to the skater,0,0
the manager next to the skater,0,0
the author next to the executive,0,0
the surgeon to the side of the assistant,0,0
the farmer to the side of the architect,0,0
the poem by the executive,0,0
the poem from the skater,0,0
the surgeon to the side of the executive,0,0
the teacher next to the parent,0,0
the pilot near the dancer,0,0
the book from the minister,0,0
the senator in front of the taxi driver,0,0
the manager in front of the minister,0,0
the poem from the executive,0,0
the novel from the architect,0,0
the song by the chef,0,0
the show by the dancer,0,0
the customer in front of the executive,0,0
the novel by the minister,0,0
the officer in front of the taxi driver,0,0
the customer to the side of the dancer,0,0
the consultant near the architect,0,0
the pilot behind the taxi driver,0,0
the teacher near the taxi driver,0,0
the book from the assistant,0,0
the customer to the side of the architect,0,0
the surgeon across from the assistant,0,0
the picture from the parent,0,0
the consultant to the side of the taxi driver,0,0
the author behind the skater,0,0
the manager across from the guard,0,0
the pilot in front of the taxi driver,0,0
the consultant to the side of the assistant,0,0
the surgeon to the side of the skater,0,0
the officer in front of the assistant,0,0
the senator behind the dancer,0,0
the author near the guard,0,0
the picture from the architect,0,0
the author across from the parent,0,0
the farmer behind the architect,0,0
the author to the side of the dancer,0,0
the customer across from the executive,0,0
the farmer next to the dancer,0,0
the game from the architect,0,0
the consultant in front of the parent,0,0
the painting by the guard,0,0
the pilot behind the parent,0,0
the game by the dancer,0,0
the consultant next to the architect,0,0
the pilot next to the minister,0,0
the customer behind the skater,0,0
the painting by the taxi driver,0,0
the consultant near the guard,0,0
the teacher near the assistant,0,0
the book from the guard,0,0
the customer across from the assistant,0,0
the officer near the skater,0,0
the movie from the executive,0,0
the teacher near the parent,0,0
the farmer behind the guard,0,0
the pilot near the chef,0,0
the farmer in front of the minister,0,0
the customer near the assistant,0,0
the customer near the guard,0,0
the consultant next to the chef,0,0
the novel by the guard,0,0
the pilot near the skater,0,0
the manager near the taxi driver,0,0
the teacher across from the executive,0,0
the surgeon to the side of the chef,0,0
the farmer in front of the parent,0,0
the consultant to the side of the parent,0,0
the senator to the side of the chef,0,0
the manager near the skater,0,0
the officer next to the chef,0,0
the surgeon across from the executive,0,0
the senator behind the minister,0,0
the manager next to the executive,0,0
the teacher to the side of the assistant,0,0
the picture by the minister,0,0
the author across from the guard,0,0
the senator across from the dancer,0,0
the song by the executive,0,0
the farmer in front of the executive,0,0
the senator next to the dancer,0,0
the painting by the chef,0,0
the teacher near the executive,0,0
the customer behind the minister,0,0
the customer to the side of the chef,0,0
the farmer next to the guard,0,0
the senator next to the assistant,0,0
the officer behind the guard,0,0
the customer behind the taxi driver,0,0
the consultant next to the minister,0,0
the book from the parent,0,0
the book by the taxi driver,0,0
the surgeon behind the guard,0,0
the officer across from the parent,0,0
the novel by the chef,0,0
the farmer to the side of the minister,0,0
the consultant behind the chef,0,0
the officer near the executive,0,0
the author in front of the dancer,0,0
the painting from the dancer,0,0
the manager to the side of the assistant,0,0
the farmer behind the parent,0,0
the pilot in front of the dancer,0,0
the customer near the parent,0,0
the author behind the chef,0,0
the pilot next to the chef,0,0
the manager near the parent,0,0
the surgeon across from the skater,0,0
the teacher behind the parent,0,0
the senator across from the assistant,0,0
the book by the minister,0,0
the manager near the assistant,0,0
the pilot next to the dancer,0,0
the author near the skater,0,0
the song by the architect,0,0
the picture by the assistant,0,0
the consultant in front of the dancer,0,0
the senator behind the assistant,0,0
the teacher behind the executive,0,0
the senator across from the chef,0,0
the consultant to the side of the dancer,0,0
the pilot in front of the skater,0,0
