,data,labels,counterfactual_data,var_0,counter_var_0,var_1,counter_var_1,aux_0,counter_aux_0,aux_1,counter_aux_1,aux_2,counter_aux_2,aux_3,counter_aux_3,CF_Label_0,CF_FN_0,CF_Label_1,CF_FN_1,CF_Label_2,CF_FN_2,CF_Label_3,CF_FN_3,CF_Label_4,CF_FN_4,CF_Label_5,CF_FN_5
0,76 88 113,66,78 33 113,13,95,53,41,51,111,101,45,164,111,-12,45,54,var_0 counter_var_1 +,35,counter_var_0 var_1 +,35,aux_0 counter_aux_1 *,24,counter_aux_0 aux_1 *,35,aux_2 counter_aux_3 *,24,counter_aux_2 aux_3 *
1,31 4 113,41,18 72 113,57,98,97,14,35,90,27,59,35,90,27,-54,71,var_0 counter_var_1 +,82,counter_var_0 var_1 +,31,aux_0 counter_aux_1 *,57,counter_aux_0 aux_1 *,31,aux_2 counter_aux_3 *,57,counter_aux_2 aux_3 *
2,71 42 113,0,44 6 113,69,15,44,77,0,50,29,38,113,50,29,38,33,var_0 counter_var_1 +,59,counter_var_0 var_1 +,0,aux_0 counter_aux_1 *,94,counter_aux_0 aux_1 *,0,aux_2 counter_aux_3 *,94,counter_aux_2 aux_3 *
3,30 13 113,53,35 90 113,109,95,57,36,43,12,17,58,43,125,17,-55,32,var_0 counter_var_1 +,39,counter_var_0 var_1 +,8,aux_0 counter_aux_1 *,91,counter_aux_0 aux_1 *,8,aux_2 counter_aux_3 *,91,counter_aux_2 aux_3 *
4,97 1 113,29,82 90 113,30,57,112,36,98,59,96,105,98,172,96,-8,66,var_0 counter_var_1 +,56,counter_var_0 var_1 +,7,aux_0 counter_aux_1 *,14,counter_aux_0 aux_1 *,7,aux_2 counter_aux_3 *,14,counter_aux_2 aux_3 *
5,6 77 113,96,78 67 113,36,95,60,31,83,32,42,11,83,145,-71,11,67,var_0 counter_var_1 +,42,counter_var_0 var_1 +,9,aux_0 counter_aux_1 *,101,counter_aux_0 aux_1 *,9,aux_2 counter_aux_3 *,101,counter_aux_2 aux_3 *
6,20 55 113,87,33 67 113,61,72,26,31,75,100,78,79,75,100,-35,-34,92,var_0 counter_var_1 +,98,counter_var_0 var_1 +,49,aux_0 counter_aux_1 *,3,counter_aux_0 aux_1 *,49,aux_2 counter_aux_3 *,3,counter_aux_2 aux_3 *
7,49 55 113,54,8 22 113,28,64,26,81,104,30,107,99,104,30,-6,-14,109,var_0 counter_var_1 +,90,counter_var_0 var_1 +,13,aux_0 counter_aux_1 *,46,counter_aux_0 aux_1 *,13,aux_2 counter_aux_3 *,46,counter_aux_2 aux_3 *
8,2 87 113,6,20 106 113,4,61,2,64,89,13,28,27,89,126,-85,-86,68,var_0 counter_var_1 +,63,counter_var_0 var_1 +,30,aux_0 counter_aux_1 *,25,counter_aux_0 aux_1 *,30,aux_2 counter_aux_3 *,25,counter_aux_2 aux_3 *
9,24 67 113,42,63 50 113,11,14,31,99,91,0,70,13,91,113,-43,13,110,var_0 counter_var_1 +,45,counter_var_0 var_1 +,53,aux_0 counter_aux_1 *,0,counter_aux_0 aux_1 *,53,aux_2 counter_aux_3 *,0,counter_aux_2 aux_3 *
10,62 89 113,104,92 60 113,2,102,102,16,38,39,86,32,151,152,-27,32,18,var_0 counter_var_1 +,91,counter_var_0 var_1 +,86,aux_0 counter_aux_1 *,77,counter_aux_0 aux_1 *,86,aux_2 counter_aux_3 *,77,counter_aux_2 aux_3 *
11,14 11 113,75,105 100 113,83,64,105,57,25,92,3,5,25,205,3,5,27,var_0 counter_var_1 +,56,counter_var_0 var_1 +,12,aux_0 counter_aux_1 *,50,counter_aux_0 aux_1 *,12,aux_2 counter_aux_3 *,50,counter_aux_2 aux_3 *
12,98 64 113,84,111 86 113,112,4,85,62,49,84,34,25,162,197,34,25,61,var_0 counter_var_1 +,89,counter_var_0 var_1 +,95,aux_0 counter_aux_1 *,31,counter_aux_0 aux_1 *,95,aux_2 counter_aux_3 *,31,counter_aux_2 aux_3 *
13,75 110 113,79,2 56 113,88,4,104,28,72,58,78,59,185,58,-35,-54,3,var_0 counter_var_1 +,108,counter_var_0 var_1 +,67,aux_0 counter_aux_1 *,4,counter_aux_0 aux_1 *,67,aux_2 counter_aux_3 *,4,counter_aux_2 aux_3 *
14,28 24 113,95,3 78 113,106,9,102,18,52,81,4,38,52,81,4,-75,11,var_0 counter_var_1 +,111,counter_var_0 var_1 +,55,aux_0 counter_aux_1 *,98,counter_aux_0 aux_1 *,55,aux_2 counter_aux_3 *,98,counter_aux_2 aux_3 *
15,23 87 113,79,64 49 113,77,28,2,85,110,0,49,15,110,113,-64,15,49,var_0 counter_var_1 +,30,counter_var_0 var_1 +,68,aux_0 counter_aux_1 *,0,counter_aux_0 aux_1 *,68,aux_2 counter_aux_3 *,0,counter_aux_2 aux_3 *
16,31 11 113,49,35 16 113,57,95,105,83,42,51,20,19,42,51,20,19,27,var_0 counter_var_1 +,87,counter_var_0 var_1 +,7,aux_0 counter_aux_1 *,3,counter_aux_0 aux_1 *,7,aux_2 counter_aux_3 *,3,counter_aux_2 aux_3 *
17,3 10 113,22,30 25 113,9,109,13,53,13,55,106,5,13,55,-7,5,62,var_0 counter_var_1 +,9,counter_var_0 var_1 +,65,aux_0 counter_aux_1 *,67,counter_aux_0 aux_1 *,65,aux_2 counter_aux_3 *,67,counter_aux_2 aux_3 *
18,106 52 113,57,2 18 113,49,4,8,15,45,20,54,97,158,20,54,-16,64,var_0 counter_var_1 +,12,counter_var_0 var_1 +,71,aux_0 counter_aux_1 *,63,counter_aux_0 aux_1 *,71,aux_2 counter_aux_3 *,63,counter_aux_2 aux_3 *
19,56 23 113,8,14 83 113,85,83,36,4,79,97,33,44,79,97,33,-69,89,var_0 counter_var_1 +,6,counter_var_0 var_1 +,86,aux_0 counter_aux_1 *,37,counter_aux_0 aux_1 *,86,aux_2 counter_aux_3 *,37,counter_aux_2 aux_3 *
20,56 21 113,96,2 28 113,85,4,11,7,77,30,35,87,77,30,35,-26,92,var_0 counter_var_1 +,15,counter_var_0 var_1 +,32,aux_0 counter_aux_1 *,33,counter_aux_0 aux_1 *,32,aux_2 counter_aux_3 *,33,counter_aux_2 aux_3 *
21,101 26 113,33,91 97 113,31,32,2,83,14,75,75,107,127,188,75,-6,1,var_0 counter_var_1 +,34,counter_var_0 var_1 +,29,aux_0 counter_aux_1 *,88,counter_aux_0 aux_1 *,29,aux_2 counter_aux_3 *,88,counter_aux_2 aux_3 *
22,105 86 113,13,107 26 113,64,36,62,2,78,20,19,81,191,133,19,81,66,var_0 counter_var_1 +,98,counter_var_0 var_1 +,103,aux_0 counter_aux_1 *,41,counter_aux_0 aux_1 *,103,aux_2 counter_aux_3 *,41,counter_aux_2 aux_3 *
23,32 71 113,51,77 107 113,7,53,44,77,103,71,74,83,103,184,-39,-30,84,var_0 counter_var_1 +,97,counter_var_0 var_1 +,74,aux_0 counter_aux_1 *,56,counter_aux_0 aux_1 *,74,aux_2 counter_aux_3 *,56,counter_aux_2 aux_3 *
