,data,labels,counterfactual_data,var_0,counter_var_0
0,76 88 113,51,78 33 113,51,111
1,31 4 113,35,18 72 113,35,90
2,71 42 113,0,44 6 113,0,50
3,30 13 113,43,35 90 113,43,12
4,97 1 113,98,82 90 113,98,59
5,6 77 113,83,78 67 113,83,32
6,20 55 113,75,33 67 113,75,100
7,49 55 113,104,8 22 113,104,30
8,2 87 113,89,20 106 113,89,13
9,24 67 113,91,63 50 113,91,0
10,62 89 113,38,92 60 113,38,39
11,14 11 113,25,105 100 113,25,92
12,98 64 113,49,111 86 113,49,84
13,75 110 113,72,2 56 113,72,58
14,28 24 113,52,3 78 113,52,81
15,23 87 113,110,64 49 113,110,0
16,31 11 113,42,35 16 113,42,51
17,3 10 113,13,30 25 113,13,55
18,106 52 113,45,2 18 113,45,20
19,56 23 113,79,14 83 113,79,97
20,56 21 113,77,2 28 113,77,30
21,101 26 113,14,91 97 113,14,75
22,105 86 113,78,107 26 113,78,20
23,32 71 113,103,77 107 113,103,71
24,13 99 113,112,17 99 113,112,3
25,81 63 113,31,21 72 113,31,93
26,2 106 113,108,37 83 113,108,7
27,18 96 113,1,2 31 113,1,33
28,78 15 113,93,39 0 113,93,39
29,71 54 113,12,6 19 113,12,25
30,100 74 113,61,111 24 113,61,22
31,77 101 113,65,110 98 113,65,95
32,112 10 113,9,5 14 113,9,19
33,41 109 113,37,17 77 113,37,94
34,43 89 113,19,34 41 113,19,75
35,15 16 113,31,85 20 113,31,105
36,23 28 113,51,100 60 113,51,47
37,54 71 113,12,97 66 113,12,50
38,62 61 113,10,97 106 113,10,90
39,107 95 113,89,10 68 113,89,78
40,10 92 113,102,60 29 113,102,89
41,7 26 113,33,19 65 113,33,84
42,46 7 113,53,12 81 113,53,93
43,44 69 113,0,86 12 113,0,98
44,15 22 113,37,79 50 113,37,16
45,9 82 113,91,5 95 113,91,100
46,89 70 113,46,54 46 113,46,100
47,28 2 113,30,48 23 113,30,71
48,37 80 113,4,20 100 113,4,7
49,11 70 113,81,73 89 113,81,49
50,40 18 113,58,5 17 113,58,22
51,32 55 113,87,75 30 113,87,105
52,34 105 113,26,95 80 113,26,62
53,62 40 113,102,33 49 113,102,82
54,105 36 113,28,75 89 113,28,51
55,72 43 113,2,43 67 113,2,110
56,56 74 113,17,99 4 113,17,103
57,80 4 113,84,18 35 113,84,53
58,13 26 113,39,14 75 113,39,89
59,8 42 113,50,22 67 113,50,89
60,43 56 113,99,9 54 113,99,63
61,64 82 113,33,56 66 113,33,9
62,49 109 113,45,65 2 113,45,67
63,83 32 113,2,92 99 113,2,78
64,42 105 113,34,49 20 113,34,69
65,88 80 113,55,110 24 113,55,21
66,108 32 113,27,12 58 113,27,70
67,92 7 113,99,12 3 113,99,15
68,2 59 113,61,77 55 113,61,19
69,38 28 113,66,22 84 113,66,106
70,60 66 113,13,94 74 113,13,55
71,71 86 113,44,36 59 113,44,95
72,98 83 113,68,29 100 113,68,16
73,89 105 113,81,8 79 113,81,87
74,68 53 113,8,42 95 113,8,24
75,69 111 113,67,112 89 113,67,88
76,24 41 113,65,25 36 113,65,61
77,27 52 113,79,112 65 113,79,64
78,99 37 113,23,34 59 113,23,93
79,61 88 113,36,57 43 113,36,100
80,44 68 113,112,61 17 113,112,78
81,57 18 113,75,83 23 113,75,106
82,63 15 113,78,54 55 113,78,109
83,16 31 113,47,97 64 113,47,48
84,1 94 113,95,97 68 113,95,52
85,28 38 113,66,18 71 113,66,89
86,63 10 113,73,20 4 113,73,24
87,83 38 113,8,46 42 113,8,88
88,86 99 113,72,93 52 113,72,32
89,88 68 113,43,60 110 113,43,57
90,26 49 113,75,41 11 113,75,52
91,21 49 113,70,81 66 113,70,34
92,39 21 113,60,36 4 113,60,40
93,81 109 113,77,51 64 113,77,2
94,11 40 113,51,72 75 113,51,34
95,97 79 113,63,16 12 113,63,28
96,65 80 113,32,54 89 113,32,30
97,48 68 113,3,30 104 113,3,21
98,48 27 113,75,83 54 113,75,24
99,41 42 113,83,109 58 113,83,54
100,10 85 113,95,39 72 113,95,111
101,62 32 113,94,37 15 113,94,52
102,18 106 113,11,56 24 113,11,80
103,94 71 113,52,0 9 113,52,9
104,71 107 113,65,3 21 113,65,24
105,63 58 113,8,106 83 113,8,76
106,58 102 113,47,28 36 113,47,64
107,50 64 113,1,56 38 113,1,94
108,9 86 113,95,67 107 113,95,61
109,55 23 113,78,36 84 113,78,7
110,83 60 113,30,32 5 113,30,37
111,95 112 113,94,78 47 113,94,12
112,49 62 113,111,93 108 113,111,88
113,22 7 113,29,4 74 113,29,78
114,20 23 113,43,23 96 113,43,6
115,29 29 113,58,40 78 113,58,5
116,110 27 113,24,106 58 113,24,51
117,16 21 113,37,7 58 113,37,65
118,102 86 113,75,66 71 113,75,24
119,84 1 113,85,29 38 113,85,67
120,96 15 113,111,14 95 113,111,109
121,88 69 113,44,0 47 113,44,47
122,58 28 113,86,9 38 113,86,47
123,87 8 113,95,42 31 113,95,73
124,69 14 113,83,9 15 113,83,24
125,9 93 113,102,79 100 113,102,66
126,84 75 113,46,65 24 113,46,89
127,68 96 113,51,24 20 113,51,44
128,91 111 113,89,80 91 113,89,58
129,17 86 113,103,1 96 113,103,97
130,71 37 113,108,78 0 113,108,78
131,55 1 113,56,102 54 113,56,43
132,112 106 113,105,54 3 113,105,57
133,92 93 113,72,12 27 113,72,39
134,109 99 113,95,70 3 113,95,73
135,44 32 113,76,79 66 113,76,32
136,63 100 113,50,85 18 113,50,103
137,112 108 113,107,7 78 113,107,85
138,94 31 113,12,49 79 113,12,15
139,77 20 113,97,15 112 113,97,14
140,18 23 113,41,93 96 113,41,76
141,3 0 113,3,3 40 113,3,43
142,26 106 113,19,58 69 113,19,14
143,112 24 113,23,40 96 113,23,23
144,62 93 113,42,6 111 113,42,4
145,44 110 113,41,2 106 113,41,108
146,8 21 113,29,41 90 113,29,18
147,93 8 113,101,57 45 113,101,102
148,32 68 113,100,44 97 113,100,28
149,74 91 113,52,15 38 113,52,53
150,16 97 113,0,103 38 113,0,28
151,90 110 113,87,77 66 113,87,30
152,9 56 113,65,67 54 113,65,8
153,57 20 113,77,71 94 113,77,52
154,98 105 113,90,103 94 113,90,84
155,8 79 113,87,49 73 113,87,9
156,58 66 113,11,46 57 113,11,103
157,75 97 113,59,38 84 113,59,9
158,73 108 113,68,14 106 113,68,7
159,3 112 113,2,72 50 113,2,9
160,101 99 113,87,104 97 113,87,88
161,83 9 113,92,92 49 113,92,28
162,31 35 113,66,69 34 113,66,103
163,40 28 113,68,111 100 113,68,98
164,63 18 113,81,75 63 113,81,25
165,27 5 113,32,81 4 113,32,85
166,106 103 113,96,57 19 113,96,76
167,75 92 113,54,38 97 113,54,22
168,95 65 113,47,108 64 113,47,59
169,55 28 113,83,40 33 113,83,73
170,87 62 113,36,68 25 113,36,93
171,96 41 113,24,4 11 113,24,15
172,48 76 113,11,70 18 113,11,88
173,52 4 113,56,88 73 113,56,48
174,28 7 113,35,50 53 113,35,103
175,80 45 113,12,11 66 113,12,77
176,22 88 113,110,39 34 113,110,73
177,17 18 113,35,89 8 113,35,97
178,76 64 113,27,62 71 113,27,20
179,59 27 113,86,101 31 113,86,19
180,104 107 113,98,41 41 113,98,82
181,105 21 113,13,27 55 113,13,82
182,82 110 113,79,75 51 113,79,13
183,11 10 113,21,42 110 113,21,39
184,7 47 113,54,103 3 113,54,106
185,16 22 113,38,79 86 113,38,52
186,61 81 113,29,30 71 113,29,101
187,16 37 113,53,72 20 113,53,92
188,82 21 113,103,112 10 113,103,9
189,16 36 113,52,67 12 113,52,79
190,69 93 113,49,2 72 113,49,74
191,92 98 113,77,54 87 113,77,28
192,9 32 113,41,42 17 113,41,59
193,65 21 113,86,94 87 113,86,68
194,94 63 113,44,61 81 113,44,29
195,0 11 113,11,78 105 113,11,70
196,110 88 113,85,12 106 113,85,5
197,40 76 113,3,55 109 113,3,51
198,6 27 113,33,41 53 113,33,94
199,104 68 113,59,99 27 113,59,13
200,21 74 113,95,13 54 113,95,67
201,83 56 113,26,97 102 113,26,86
202,75 58 113,20,99 51 113,20,37
203,77 63 113,27,84 4 113,27,88
204,14 56 113,70,73 27 113,70,100
205,11 49 113,60,94 2 113,60,96
206,31 52 113,83,68 56 113,83,11
207,98 8 113,106,17 11 113,106,28
208,0 37 113,37,48 72 113,37,7
209,54 52 113,106,109 55 113,106,51
210,39 100 113,26,23 11 113,26,34
211,78 63 113,28,27 54 113,28,81
212,40 10 113,50,10 110 113,50,7
213,84 12 113,96,2 16 113,96,18
214,52 18 113,70,95 53 113,70,35
215,72 37 113,109,18 84 113,109,102
216,53 73 113,13,76 59 113,13,22
217,84 69 113,40,37 100 113,40,24
218,100 46 113,33,60 58 113,33,5
219,7 8 113,15,71 74 113,15,32
220,92 83 113,62,27 24 113,62,51
221,105 12 113,4,111 68 113,4,66
222,17 29 113,46,94 57 113,46,38
223,46 21 113,67,59 18 113,67,77
224,91 37 113,15,18 81 113,15,99
225,66 14 113,80,60 25 113,80,85
226,12 74 113,86,81 87 113,86,55
227,97 60 113,44,35 19 113,44,54
228,75 17 113,92,27 87 113,92,1
229,39 92 113,18,53 107 113,18,47
230,92 66 113,45,73 65 113,45,25
231,4 71 113,75,9 97 113,75,106
232,36 0 113,36,14 69 113,36,83
233,110 112 113,109,18 15 113,109,33
234,38 78 113,3,26 41 113,3,67
235,108 66 113,61,36 17 113,61,53
236,57 98 113,42,74 58 113,42,19
237,95 70 113,52,61 88 113,52,36
238,65 35 113,100,112 61 113,100,60
239,93 10 113,103,8 100 113,103,108
240,12 35 113,47,14 72 113,47,86
241,23 79 113,102,47 60 113,102,107
242,3 23 113,26,111 85 113,26,83
243,54 13 113,67,37 29 113,67,66
244,19 47 113,66,24 0 113,66,24
245,68 24 113,92,92 58 113,92,37
246,81 32 113,0,101 18 113,0,6
247,91 35 113,13,70 100 113,13,57
248,27 19 113,46,2 103 113,46,105
249,71 25 113,96,64 27 113,96,91
250,86 58 113,31,38 65 113,31,103
251,68 9 113,77,26 34 113,77,60
252,51 21 113,72,98 69 113,72,54
253,33 63 113,96,39 50 113,96,89
254,111 18 113,16,2 36 113,16,38
255,14 107 113,8,64 108 113,8,59
256,80 31 113,111,6 24 113,111,30
257,94 35 113,16,13 102 113,16,2
258,51 75 113,13,107 96 113,13,90
259,2 81 113,83,22 68 113,83,90
260,32 35 113,67,79 45 113,67,11
261,62 94 113,43,7 100 113,43,107
262,57 91 113,35,94 40 113,35,21
263,111 29 113,27,94 110 113,27,91
264,94 8 113,102,95 22 113,102,4
265,51 41 113,92,74 112 113,92,73
266,71 76 113,34,16 61 113,34,77
267,67 55 113,9,46 2 113,9,48
268,89 30 113,6,42 32 113,6,74
269,2 20 113,22,107 70 113,22,64
270,24 70 113,94,51 20 113,94,71
271,105 4 113,109,42 80 113,109,9
272,19 34 113,53,84 19 113,53,103
273,90 61 113,38,89 16 113,38,105
274,56 86 113,29,36 80 113,29,3
275,70 96 113,53,43 102 113,53,32
276,54 88 113,29,8 112 113,29,7
277,95 40 113,22,84 101 113,22,72
278,6 91 113,97,90 48 113,97,25
279,75 70 113,32,89 34 113,32,10
280,56 26 113,82,41 20 113,82,61
281,23 52 113,75,90 75 113,75,52
282,77 96 113,60,0 0 113,60,0
283,31 70 113,101,31 72 113,101,103
284,2 44 113,46,66 43 113,46,109
285,76 59 113,22,107 28 113,22,22
286,49 43 113,92,87 110 113,92,84
287,91 95 113,73,45 24 113,73,69
288,79 34 113,0,55 84 113,0,26
289,57 35 113,92,13 78 113,92,91
290,43 64 113,107,39 75 113,107,1
291,23 107 113,17,12 43 113,17,55
292,91 25 113,3,71 5 113,3,76
293,20 20 113,40,104 109 113,40,100
294,39 37 113,76,62 3 113,76,65
295,110 1 113,111,51 99 113,111,37
296,63 27 113,90,23 41 113,90,64
297,63 68 113,18,31 92 113,18,10
298,15 58 113,73,45 22 113,73,67
299,53 95 113,35,58 45 113,35,103
300,36 35 113,71,46 63 113,71,109
301,29 83 113,112,33 77 113,112,110
302,93 42 113,22,23 43 113,22,66
303,90 65 113,42,58 70 113,42,15
304,106 8 113,1,60 59 113,1,6
305,88 24 113,112,110 6 113,112,3
306,105 103 113,95,13 89 113,95,102
307,99 75 113,61,46 5 113,61,51
308,9 64 113,73,7 92 113,73,99
309,16 98 113,1,60 71 113,1,18
310,72 106 113,65,100 94 113,65,81
311,108 104 113,99,27 110 113,99,24
312,34 29 113,63,32 77 113,63,109
313,26 71 113,97,53 29 113,97,82
314,100 57 113,44,14 58 113,44,72
315,5 92 113,97,40 77 113,97,4
316,63 24 113,87,55 66 113,87,8
317,46 26 113,72,102 52 113,72,41
318,86 69 113,42,16 66 113,42,82
319,24 3 113,27,43 39 113,27,82
320,9 104 113,0,39 54 113,0,93
321,85 77 113,49,101 69 113,49,57
322,83 73 113,43,21 54 113,43,75
323,98 75 113,60,9 39 113,60,48
324,83 65 113,35,27 112 113,35,26
325,58 82 113,27,95 40 113,27,22
326,94 79 113,60,105 83 113,60,75
327,39 6 113,45,48 24 113,45,72
328,78 1 113,79,38 46 113,79,84
329,5 19 113,24,108 50 113,24,45
330,52 69 113,8,15 93 113,8,108
331,75 51 113,13,89 109 113,13,85
332,38 105 113,30,67 108 113,30,62
333,45 11 113,56,78 68 113,56,33
334,35 22 113,57,48 58 113,57,106
335,91 11 113,102,89 111 113,102,87
336,25 77 113,102,108 71 113,102,66
337,105 110 113,102,104 54 113,102,45
338,68 66 113,21,104 37 113,21,28
339,78 5 113,83,4 57 113,83,61
340,107 55 113,49,93 97 113,49,77
341,38 79 113,4,82 43 113,4,12
342,9 72 113,81,76 4 113,81,80
343,87 34 113,8,77 49 113,8,13
344,1 14 113,15,57 89 113,15,33
345,65 40 113,105,15 46 113,105,61
346,52 25 113,77,92 105 113,77,84
347,47 22 113,69,0 12 113,69,12
348,92 87 113,66,46 72 113,66,5
349,101 77 113,65,8 32 113,65,40
350,11 86 113,97,0 67 113,97,67
351,20 6 113,26,47 17 113,26,64
352,65 31 113,96,109 91 113,96,87
353,13 16 113,29,14 27 113,29,41
354,5 46 113,51,52 22 113,51,74
355,45 33 113,78,0 97 113,78,97
356,4 73 113,77,49 6 113,77,55
357,104 108 113,99,60 11 113,99,71
358,26 17 113,43,55 28 113,43,83
359,53 83 113,23,93 106 113,23,86
360,76 67 113,30,61 26 113,30,87
361,32 110 113,29,47 32 113,29,79
362,68 61 113,16,72 10 113,16,82
363,71 104 113,62,110 42 113,62,39
364,102 11 113,0,90 63 113,0,40
365,110 49 113,46,12 104 113,46,3
366,48 22 113,70,98 53 113,70,38
367,109 51 113,47,3 56 113,47,59
368,87 30 113,4,54 98 113,4,39
369,70 89 113,46,55 70 113,46,12
370,86 16 113,102,31 33 113,102,64
371,84 44 113,15,97 88 113,15,72
372,36 77 113,0,79 88 113,0,54
373,104 106 113,97,98 106 113,97,91
374,9 100 113,109,99 86 113,109,72
375,6 16 113,22,65 21 113,22,86
376,39 35 113,74,31 107 113,74,25
377,51 63 113,1,85 54 113,1,26
378,13 21 113,34,112 58 113,34,57
379,60 48 113,108,74 89 113,108,50
380,93 11 113,104,26 12 113,104,38
381,48 100 113,35,104 58 113,35,49
382,84 4 113,88,5 56 113,88,61
383,10 74 113,84,51 9 113,84,60
384,68 105 113,60,57 109 113,60,53
385,92 12 113,104,10 8 113,104,18
386,11 4 113,15,66 40 113,15,106
387,11 76 113,87,19 7 113,87,26
