sentence,labels
the game that the assistants like,0
the book that the chefs hate,0
the poem that the executives hate,0
the pilot that the chefs like,0
the author in front of the chefs,0
the poem that the assistants hate,0
the pilot that the parents admire,0
the surgeon that the parents hate,0
the officer across from the assistants,0
the surgeon that the guards hate,0
the book that the parents like,0
the picture that the guards like,0
the consultant that the assistants like,0
the novel that the guards like,0
the picture by the executives,0
the pilot in front of the skaters,0
the customer across from the ministers,0
the pilot that the guards love,0
the manager next to the taxi drivers,0
the painting that the skaters admire,0
the painting that the taxi drivers like,0
the officer in front of the dancers,0
the novel that the ministers admire,0
the author behind the parents,0
the officer across from the guards,0
the book that the skaters admire,0
the movie that the taxi drivers like,0
the show that the architects like,0
the consultant next to the taxi drivers,0
the picture that the ministers admire,0
the painting that the executives love,0
the movie from the taxi drivers,0
the painting that the parents like,0
the manager across from the executives,0
the customer to the side of the taxi drivers,0
the farmer that the chefs admire,0
the farmer near the parents,0
the surgeon in front of the guards,0
the author near the ministers,0
the author in front of the architects,0
the game that the ministers like,0
the manager to the side of the architects,0
the author that the taxi drivers love,0
the farmer that the dancers hate,0
the consultant that the executives like,0
the picture from the executives,0
the pilot that the assistants admire,0
the show that the chefs admire,0
the poem by the executives,0
the officer to the side of the executives,0
the manager next to the skaters,0
the surgeon to the side of the executives,0
the consultant that the skaters hate,0
the manager behind the architects,0
the pilot to the side of the assistants,0
the show that the parents love,0
the show from the guards,0
the officer that the architects admire,0
the picture that the chefs hate,0
the customer in front of the skaters,0
the author to the side of the skaters,0
the book that the ministers hate,0
the customer that the dancers like,0
the movie from the assistants,0
the senator across from the parents,0
the novel that the parents admire,0
the game by the executives,0
the game that the assistants love,0
the author next to the parents,0
the teacher across from the parents,0
the novel by the architects,0
the surgeon that the taxi drivers hate,0
the show that the ministers hate,0
the consultant that the chefs like,0
the picture that the parents love,0
the pilot that the dancers admire,0
the novel that the assistants love,0
the officer in front of the ministers,0
the painting that the taxi drivers hate,0
the movie that the skaters hate,0
the manager near the dancers,0
the officer next to the chefs,0
the show that the executives hate,0
the officer across from the parents,0
the consultant to the side of the chefs,0
the senator to the side of the guards,0
the author that the chefs love,0
the picture by the architects,0
the consultant that the taxi drivers love,0
the author behind the guards,0
the author that the ministers like,0
the movie that the guards admire,0
the senator that the dancers admire,0
the pilot that the skaters hate,0
the movie that the assistants like,0
the teacher next to the executives,0
the teacher that the taxi drivers hate,0
the senator in front of the dancers,0
the surgeon that the guards admire,0
the surgeon behind the chefs,0
the book that the parents hate,0
the pilot that the parents love,0
the surgeon that the taxi drivers love,0
the consultant behind the architects,0
the song that the dancers like,0
the picture that the ministers like,0
the author that the parents hate,0
the novel that the executives admire,0
the picture that the chefs love,0
the pilot across from the chefs,0
the author behind the skaters,0
the book that the dancers admire,0
the pilot near the parents,0
the author behind the ministers,0
the surgeon that the guards like,0
the customer that the executives like,0
the senator to the side of the skaters,0
the song that the chefs admire,0
the poem that the assistants admire,0
the teacher next to the dancers,0
the teacher that the skaters hate,0
the manager that the executives admire,0
the song that the ministers love,0
the senator next to the guards,0
the officer to the side of the architects,0
the pilot to the side of the ministers,0
the poem that the guards like,0
the senator to the side of the ministers,0
the game that the architects love,0
the painting by the chefs,0
the farmer to the side of the dancers,0
the consultant that the architects like,0
the customer next to the architects,0
the pilot near the ministers,0
the farmer that the guards love,0
the show that the architects hate,0
the manager that the ministers admire,0
the pilot next to the skaters,0
the officer that the parents love,0
the author to the side of the parents,0
the movie that the executives like,0
the pilot that the parents hate,0
the farmer that the chefs hate,0
the senator near the guards,0
the picture from the chefs,0
the surgeon to the side of the ministers,0
the consultant behind the chefs,0
the officer that the skaters hate,0
the teacher that the guards admire,0
the surgeon next to the taxi drivers,0
the surgeon across from the executives,0
the movie from the chefs,0
the manager in front of the skaters,0
the teacher in front of the assistants,0
the senator in front of the guards,0
the farmer that the executives love,0
the novel that the dancers hate,0
