sentence,labels,ungrammatical,gender
the author hurt himself,0,the author hurt themselves,0
the author hurt herself,0,the author hurt themselves,1
the author injured himself,0,the author injured themselves,0
the author injured herself,0,the author injured themselves,1
the author congratulated himself,0,the author congratulated themselves,0
the author congratulated herself,0,the author congratulated themselves,1
the author embarrassed himself,0,the author embarrassed themselves,0
the author embarrassed herself,0,the author embarrassed themselves,1
the author disguised himself,0,the author disguised themselves,0
the author disguised herself,0,the author disguised themselves,1
the author hated himself,0,the author hated themselves,0
the author hated herself,0,the author hated themselves,1
the author doubted himself,0,the author doubted themselves,0
the author doubted herself,0,the author doubted themselves,1
the pilot hurt himself,0,the pilot hurt themselves,0
the pilot hurt herself,0,the pilot hurt themselves,1
the pilot injured himself,0,the pilot injured themselves,0
the pilot injured herself,0,the pilot injured themselves,1
the pilot congratulated himself,0,the pilot congratulated themselves,0
the pilot congratulated herself,0,the pilot congratulated themselves,1
the pilot embarrassed himself,0,the pilot embarrassed themselves,0
the pilot embarrassed herself,0,the pilot embarrassed themselves,1
the pilot disguised himself,0,the pilot disguised themselves,0
the pilot disguised herself,0,the pilot disguised themselves,1
the pilot hated himself,0,the pilot hated themselves,0
the pilot hated herself,0,the pilot hated themselves,1
the pilot doubted himself,0,the pilot doubted themselves,0
the pilot doubted herself,0,the pilot doubted themselves,1
the surgeon hurt himself,0,the surgeon hurt themselves,0
the surgeon hurt herself,0,the surgeon hurt themselves,1
the surgeon injured himself,0,the surgeon injured themselves,0
the surgeon injured herself,0,the surgeon injured themselves,1
the surgeon congratulated himself,0,the surgeon congratulated themselves,0
the surgeon congratulated herself,0,the surgeon congratulated themselves,1
the surgeon embarrassed himself,0,the surgeon embarrassed themselves,0
the surgeon embarrassed herself,0,the surgeon embarrassed themselves,1
the surgeon disguised himself,0,the surgeon disguised themselves,0
the surgeon disguised herself,0,the surgeon disguised themselves,1
the surgeon hated himself,0,the surgeon hated themselves,0
the surgeon hated herself,0,the surgeon hated themselves,1
the surgeon doubted himself,0,the surgeon doubted themselves,0
the surgeon doubted herself,0,the surgeon doubted themselves,1
the farmer hurt himself,0,the farmer hurt themselves,0
the farmer hurt herself,0,the farmer hurt themselves,1
the farmer injured himself,0,the farmer injured themselves,0
the farmer injured herself,0,the farmer injured themselves,1
the farmer congratulated himself,0,the farmer congratulated themselves,0
the farmer congratulated herself,0,the farmer congratulated themselves,1
the farmer embarrassed himself,0,the farmer embarrassed themselves,0
the farmer embarrassed herself,0,the farmer embarrassed themselves,1
the farmer disguised himself,0,the farmer disguised themselves,0
the farmer disguised herself,0,the farmer disguised themselves,1
the farmer hated himself,0,the farmer hated themselves,0
the farmer hated herself,0,the farmer hated themselves,1
the farmer doubted himself,0,the farmer doubted themselves,0
the farmer doubted herself,0,the farmer doubted themselves,1
the manager hurt himself,0,the manager hurt themselves,0
the manager hurt herself,0,the manager hurt themselves,1
the manager injured himself,0,the manager injured themselves,0
the manager injured herself,0,the manager injured themselves,1
the manager congratulated himself,0,the manager congratulated themselves,0
the manager congratulated herself,0,the manager congratulated themselves,1
the manager embarrassed himself,0,the manager embarrassed themselves,0
the manager embarrassed herself,0,the manager embarrassed themselves,1
the manager disguised himself,0,the manager disguised themselves,0
the manager disguised herself,0,the manager disguised themselves,1
the manager hated himself,0,the manager hated themselves,0
the manager hated herself,0,the manager hated themselves,1
the manager doubted himself,0,the manager doubted themselves,0
the manager doubted herself,0,the manager doubted themselves,1
the customer hurt himself,0,the customer hurt themselves,0
the customer hurt herself,0,the customer hurt themselves,1
the customer injured himself,0,the customer injured themselves,0
the customer injured herself,0,the customer injured themselves,1
the customer congratulated himself,0,the customer congratulated themselves,0
the customer congratulated herself,0,the customer congratulated themselves,1
the customer embarrassed himself,0,the customer embarrassed themselves,0
the customer embarrassed herself,0,the customer embarrassed themselves,1
the customer disguised himself,0,the customer disguised themselves,0
the customer disguised herself,0,the customer disguised themselves,1
the customer hated himself,0,the customer hated themselves,0
the customer hated herself,0,the customer hated themselves,1
the customer doubted himself,0,the customer doubted themselves,0
the customer doubted herself,0,the customer doubted themselves,1
the officer hurt himself,0,the officer hurt themselves,0
the officer hurt herself,0,the officer hurt themselves,1
the officer injured himself,0,the officer injured themselves,0
the officer injured herself,0,the officer injured themselves,1
the officer congratulated himself,0,the officer congratulated themselves,0
the officer congratulated herself,0,the officer congratulated themselves,1
the officer embarrassed himself,0,the officer embarrassed themselves,0
the officer embarrassed herself,0,the officer embarrassed themselves,1
the officer disguised himself,0,the officer disguised themselves,0
the officer disguised herself,0,the officer disguised themselves,1
the officer hated himself,0,the officer hated themselves,0
the officer hated herself,0,the officer hated themselves,1
the officer doubted himself,0,the officer doubted themselves,0
the officer doubted herself,0,the officer doubted themselves,1
the teacher hurt himself,0,the teacher hurt themselves,0
the teacher hurt herself,0,the teacher hurt themselves,1
the teacher injured himself,0,the teacher injured themselves,0
the teacher injured herself,0,the teacher injured themselves,1
the teacher congratulated himself,0,the teacher congratulated themselves,0
the teacher congratulated herself,0,the teacher congratulated themselves,1
the teacher embarrassed himself,0,the teacher embarrassed themselves,0
the teacher embarrassed herself,0,the teacher embarrassed themselves,1
the teacher disguised himself,0,the teacher disguised themselves,0
the teacher disguised herself,0,the teacher disguised themselves,1
the teacher hated himself,0,the teacher hated themselves,0
the teacher hated herself,0,the teacher hated themselves,1
the teacher doubted himself,0,the teacher doubted themselves,0
the teacher doubted herself,0,the teacher doubted themselves,1
the senator hurt himself,0,the senator hurt themselves,0
the senator hurt herself,0,the senator hurt themselves,1
the senator injured himself,0,the senator injured themselves,0
the senator injured herself,0,the senator injured themselves,1
the senator congratulated himself,0,the senator congratulated themselves,0
the senator congratulated herself,0,the senator congratulated themselves,1
the senator embarrassed himself,0,the senator embarrassed themselves,0
the senator embarrassed herself,0,the senator embarrassed themselves,1
the senator disguised himself,0,the senator disguised themselves,0
the senator disguised herself,0,the senator disguised themselves,1
the senator hated himself,0,the senator hated themselves,0
the senator hated herself,0,the senator hated themselves,1
the senator doubted himself,0,the senator doubted themselves,0
the senator doubted herself,0,the senator doubted themselves,1
the consultant hurt himself,0,the consultant hurt themselves,0
the consultant hurt herself,0,the consultant hurt themselves,1
the consultant injured himself,0,the consultant injured themselves,0
the consultant injured herself,0,the consultant injured themselves,1
the consultant congratulated himself,0,the consultant congratulated themselves,0
the consultant congratulated herself,0,the consultant congratulated themselves,1
the consultant embarrassed himself,0,the consultant embarrassed themselves,0
the consultant embarrassed herself,0,the consultant embarrassed themselves,1
the consultant disguised himself,0,the consultant disguised themselves,0
the consultant disguised herself,0,the consultant disguised themselves,1
the consultant hated himself,0,the consultant hated themselves,0
the consultant hated herself,0,the consultant hated themselves,1
the consultant doubted himself,0,the consultant doubted themselves,0
the consultant doubted herself,0,the consultant doubted themselves,1
the authors hurt themselves,1,the authors hurt himself,0
the authors hurt themselves,1,the authors hurt herself,1
the authors injured themselves,1,the authors injured himself,0
the authors injured themselves,1,the authors injured herself,1
the authors congratulated themselves,1,the authors congratulated himself,0
the authors congratulated themselves,1,the authors congratulated herself,1
the authors embarrassed themselves,1,the authors embarrassed himself,0
the authors embarrassed themselves,1,the authors embarrassed herself,1
the authors disguised themselves,1,the authors disguised himself,0
the authors disguised themselves,1,the authors disguised herself,1
the authors hated themselves,1,the authors hated himself,0
the authors hated themselves,1,the authors hated herself,1
the authors doubted themselves,1,the authors doubted himself,0
the authors doubted themselves,1,the authors doubted herself,1
the pilots hurt themselves,1,the pilots hurt himself,0
the pilots hurt themselves,1,the pilots hurt herself,1
the pilots injured themselves,1,the pilots injured himself,0
the pilots injured themselves,1,the pilots injured herself,1
the pilots congratulated themselves,1,the pilots congratulated himself,0
the pilots congratulated themselves,1,the pilots congratulated herself,1
the pilots embarrassed themselves,1,the pilots embarrassed himself,0
the pilots embarrassed themselves,1,the pilots embarrassed herself,1
the pilots disguised themselves,1,the pilots disguised himself,0
the pilots disguised themselves,1,the pilots disguised herself,1
the pilots hated themselves,1,the pilots hated himself,0
the pilots hated themselves,1,the pilots hated herself,1
the pilots doubted themselves,1,the pilots doubted himself,0
the pilots doubted themselves,1,the pilots doubted herself,1
the surgeons hurt themselves,1,the surgeons hurt himself,0
the surgeons hurt themselves,1,the surgeons hurt herself,1
the surgeons injured themselves,1,the surgeons injured himself,0
the surgeons injured themselves,1,the surgeons injured herself,1
the surgeons congratulated themselves,1,the surgeons congratulated himself,0
the surgeons congratulated themselves,1,the surgeons congratulated herself,1
the surgeons embarrassed themselves,1,the surgeons embarrassed himself,0
the surgeons embarrassed themselves,1,the surgeons embarrassed herself,1
the surgeons disguised themselves,1,the surgeons disguised himself,0
the surgeons disguised themselves,1,the surgeons disguised herself,1
the surgeons hated themselves,1,the surgeons hated himself,0
the surgeons hated themselves,1,the surgeons hated herself,1
the surgeons doubted themselves,1,the surgeons doubted himself,0
the surgeons doubted themselves,1,the surgeons doubted herself,1
the farmers hurt themselves,1,the farmers hurt himself,0
the farmers hurt themselves,1,the farmers hurt herself,1
the farmers injured themselves,1,the farmers injured himself,0
the farmers injured themselves,1,the farmers injured herself,1
the farmers congratulated themselves,1,the farmers congratulated himself,0
the farmers congratulated themselves,1,the farmers congratulated herself,1
the farmers embarrassed themselves,1,the farmers embarrassed himself,0
the farmers embarrassed themselves,1,the farmers embarrassed herself,1
the farmers disguised themselves,1,the farmers disguised himself,0
the farmers disguised themselves,1,the farmers disguised herself,1
the farmers hated themselves,1,the farmers hated himself,0
the farmers hated themselves,1,the farmers hated herself,1
the farmers doubted themselves,1,the farmers doubted himself,0
the farmers doubted themselves,1,the farmers doubted herself,1
the managers hurt themselves,1,the managers hurt himself,0
the managers hurt themselves,1,the managers hurt herself,1
the managers injured themselves,1,the managers injured himself,0
the managers injured themselves,1,the managers injured herself,1
the managers congratulated themselves,1,the managers congratulated himself,0
the managers congratulated themselves,1,the managers congratulated herself,1
the managers embarrassed themselves,1,the managers embarrassed himself,0
the managers embarrassed themselves,1,the managers embarrassed herself,1
the managers disguised themselves,1,the managers disguised himself,0
the managers disguised themselves,1,the managers disguised herself,1
the managers hated themselves,1,the managers hated himself,0
the managers hated themselves,1,the managers hated herself,1
the managers doubted themselves,1,the managers doubted himself,0
the managers doubted themselves,1,the managers doubted herself,1
the customers hurt themselves,1,the customers hurt himself,0
the customers hurt themselves,1,the customers hurt herself,1
the customers injured themselves,1,the customers injured himself,0
the customers injured themselves,1,the customers injured herself,1
the customers congratulated themselves,1,the customers congratulated himself,0
the customers congratulated themselves,1,the customers congratulated herself,1
the customers embarrassed themselves,1,the customers embarrassed himself,0
the customers embarrassed themselves,1,the customers embarrassed herself,1
the customers disguised themselves,1,the customers disguised himself,0
the customers disguised themselves,1,the customers disguised herself,1
the customers hated themselves,1,the customers hated himself,0
the customers hated themselves,1,the customers hated herself,1
the customers doubted themselves,1,the customers doubted himself,0
the customers doubted themselves,1,the customers doubted herself,1
the officers hurt themselves,1,the officers hurt himself,0
the officers hurt themselves,1,the officers hurt herself,1
the officers injured themselves,1,the officers injured himself,0
the officers injured themselves,1,the officers injured herself,1
the officers congratulated themselves,1,the officers congratulated himself,0
the officers congratulated themselves,1,the officers congratulated herself,1
the officers embarrassed themselves,1,the officers embarrassed himself,0
the officers embarrassed themselves,1,the officers embarrassed herself,1
the officers disguised themselves,1,the officers disguised himself,0
the officers disguised themselves,1,the officers disguised herself,1
the officers hated themselves,1,the officers hated himself,0
the officers hated themselves,1,the officers hated herself,1
the officers doubted themselves,1,the officers doubted himself,0
the officers doubted themselves,1,the officers doubted herself,1
the teachers hurt themselves,1,the teachers hurt himself,0
the teachers hurt themselves,1,the teachers hurt herself,1
the teachers injured themselves,1,the teachers injured himself,0
the teachers injured themselves,1,the teachers injured herself,1
the teachers congratulated themselves,1,the teachers congratulated himself,0
the teachers congratulated themselves,1,the teachers congratulated herself,1
the teachers embarrassed themselves,1,the teachers embarrassed himself,0
the teachers embarrassed themselves,1,the teachers embarrassed herself,1
the teachers disguised themselves,1,the teachers disguised himself,0
the teachers disguised themselves,1,the teachers disguised herself,1
the teachers hated themselves,1,the teachers hated himself,0
the teachers hated themselves,1,the teachers hated herself,1
the teachers doubted themselves,1,the teachers doubted himself,0
the teachers doubted themselves,1,the teachers doubted herself,1
the senators hurt themselves,1,the senators hurt himself,0
the senators hurt themselves,1,the senators hurt herself,1
the senators injured themselves,1,the senators injured himself,0
the senators injured themselves,1,the senators injured herself,1
the senators congratulated themselves,1,the senators congratulated himself,0
the senators congratulated themselves,1,the senators congratulated herself,1
the senators embarrassed themselves,1,the senators embarrassed himself,0
the senators embarrassed themselves,1,the senators embarrassed herself,1
the senators disguised themselves,1,the senators disguised himself,0
the senators disguised themselves,1,the senators disguised herself,1
the senators hated themselves,1,the senators hated himself,0
the senators hated themselves,1,the senators hated herself,1
the senators doubted themselves,1,the senators doubted himself,0
the senators doubted themselves,1,the senators doubted herself,1
the consultants hurt themselves,1,the consultants hurt himself,0
the consultants hurt themselves,1,the consultants hurt herself,1
the consultants injured themselves,1,the consultants injured himself,0
the consultants injured themselves,1,the consultants injured herself,1
the consultants congratulated themselves,1,the consultants congratulated himself,0
the consultants congratulated themselves,1,the consultants congratulated herself,1
