,model_id,label,train length,dev length,test length,batch_size,lr,data_seed,model_seed,target_layer,operation,model,model path,train loss,dev loss,train acc,dev acc
0,5ae1a835-52a8-4717-98df-ca79a922e766,dep,16521,1522,15977,16,0.01,0,0,0,attn,gpt_neox,EleutherAI/pythia-70m,0.9162662711835676,1.226035346587499,0.7211765050888062,0.6511169075965881
1,4c4db89e-1f58-481c-bfa5-3ceb41ccfdba,dep,16521,1522,15977,16,0.01,0,0,0,mlp,gpt_neox,EleutherAI/pythia-70m,0.9133816515245745,1.3848547140757244,0.684076726436615,0.591984212398529
2,1af3c2d9-6755-45ba-871c-262f483b240e,dep,16521,1522,15977,16,0.01,0,0,1,attn,gpt_neox,EleutherAI/pythia-70m,0.920612488062151,1.2919112642606099,0.721358060836792,0.6360052227973938
3,a6fd0b1d-daaf-4a48-b01c-fe1b89c9e367,dep,16521,1522,15977,16,0.01,0,0,1,mlp,gpt_neox,EleutherAI/pythia-70m,0.6686143778985546,1.107293725013733,0.7950130105018616,0.690538763999939
4,2e451af5-5568-4d49-baa8-b1552281d4c4,dep,16521,1522,15977,16,0.01,0,0,2,attn,gpt_neox,EleutherAI/pythia-70m,1.0769366314334254,1.4493292768796284,0.6716092824935913,0.5873849987983704
5,033d8e63-e2cd-42c8-b8ef-8c3e78a2938a,dep,16521,1522,15977,16,0.01,0,0,2,mlp,gpt_neox,EleutherAI/pythia-70m,0.6229997897340406,1.0985800325870514,0.8135326504707336,0.7109066843986511
6,62c595b1-8229-4ea8-8bb0-dc2fcded700e,dep,16521,1522,15977,16,0.01,0,0,3,attn,gpt_neox,EleutherAI/pythia-70m,1.6015095268526385,2.0406402746836343,0.5239968299865723,0.4303547739982605
7,b3c686d3-8ade-4186-a406-7f227387d3fc,dep,16521,1522,15977,16,0.01,0,0,3,mlp,gpt_neox,EleutherAI/pythia-70m,0.5405480549220116,1.0272376239299774,0.8341100215911865,0.7240473031997681
8,0656531c-052f-4623-8a5d-cdc027bf5c21,dep,16521,1522,15977,16,0.01,0,0,4,attn,gpt_neox,EleutherAI/pythia-70m,2.4322919345671132,2.7636645634969077,0.2846335470676422,0.2299605756998062
9,10045210-76df-4807-909f-9bf41b1987d1,dep,16521,1522,15977,16,0.01,0,0,4,mlp,gpt_neox,EleutherAI/pythia-70m,0.5756860461927229,1.1216212113698323,0.823397696018219,0.7010512351989746
10,8ea474e2-5957-47e7-8769-8e3e78c8c887,dep,16521,1522,15977,16,0.01,0,0,5,attn,gpt_neox,EleutherAI/pythia-70m,2.324901830765509,2.51719077428182,0.3510863482952118,0.3206307291984558
11,ea9e7369-ba98-4528-933d-3b81892ef22d,dep,16521,1522,15977,16,0.01,0,0,5,mlp,gpt_neox,EleutherAI/pythia-70m,1.3663672477968278,1.4836242198944092,0.6539369225502014,0.6333771347999573
