,data,labels,counterfactual_data,var_0,counter_var_0,var_1,counter_var_1,aux_0,counter_aux_0,CF_Label_0,CF_FN_0,CF_Label_1,CF_FN_1
0,76 88 113,101,78 33 113,13,95,88,33,60,72,70,counter_var_0 var_1 +,85,var_0 counter_aux_0 +
1,31 4 113,61,18 72 113,57,98,4,72,16,99,102,counter_var_0 var_1 +,43,var_0 counter_aux_0 +
2,71 42 113,111,44 6 113,69,15,42,6,69,36,57,counter_var_0 var_1 +,105,var_0 counter_aux_0 +
3,30 13 113,9,35 90 113,109,95,13,90,56,77,108,counter_var_0 var_1 +,73,var_0 counter_aux_0 +
4,97 1 113,31,82 90 113,30,57,1,90,1,77,58,counter_var_0 var_1 +,107,var_0 counter_aux_0 +
5,6 77 113,0,78 67 113,36,95,77,67,53,82,59,counter_var_0 var_1 +,5,var_0 counter_aux_0 +
6,20 55 113,3,33 67 113,61,72,55,67,87,82,14,counter_var_0 var_1 +,30,var_0 counter_aux_0 +
7,49 55 113,83,8 22 113,28,64,55,22,87,32,6,counter_var_0 var_1 +,60,var_0 counter_aux_0 +
8,2 87 113,91,20 106 113,4,61,87,106,111,49,35,counter_var_0 var_1 +,53,var_0 counter_aux_0 +
9,24 67 113,78,63 50 113,11,14,67,50,82,14,81,counter_var_0 var_1 +,25,var_0 counter_aux_0 +
10,62 89 113,91,92 60 113,2,102,89,60,11,97,78,counter_var_0 var_1 +,99,var_0 counter_aux_0 +
11,14 11 113,94,105 100 113,83,64,11,100,8,56,75,counter_var_0 var_1 +,26,var_0 counter_aux_0 +
12,98 64 113,63,111 86 113,112,4,64,86,28,51,68,counter_var_0 var_1 +,50,var_0 counter_aux_0 +
13,75 110 113,85,2 56 113,88,4,110,56,9,85,1,counter_var_0 var_1 +,60,var_0 counter_aux_0 +
14,28 24 113,17,3 78 113,106,9,24,78,11,95,33,counter_var_0 var_1 +,88,var_0 counter_aux_0 +
15,23 87 113,51,64 49 113,77,28,87,49,111,28,2,counter_var_0 var_1 +,105,var_0 counter_aux_0 +
