,data,labels,counterfactual_data,var_0,counter_var_0,var_1,counter_var_1,aux_0,counter_aux_0,CF_Label_0,CF_FN_0,CF_Label_1,CF_FN_1
0,115 51 93 37 113,23,115 92 9 87 113,22,5,1,9,6,25,31,var_0 counter_var_1 +,6,counter_var_0 var_1 +
1,115 54 8 26 113,33,115 74 10 68 113,25,16,8,10,26,6,35,var_0 counter_var_1 +,24,counter_var_0 var_1 +
2,115 59 70 36 113,2,115 71 76 93 113,1,13,1,7,5,0,8,var_0 counter_var_1 +,14,counter_var_0 var_1 +
3,115 17 79 57 113,27,115 48 36 106 113,17,19,10,13,26,13,30,var_0 counter_var_1 +,29,counter_var_0 var_1 +
4,115 91 44 107 113,25,115 97 76 93 113,4,10,21,7,14,0,11,var_0 counter_var_1 +,31,counter_var_0 var_1 +
5,115 38 97 81 113,14,115 107 41 22 113,9,20,5,18,19,22,27,var_0 counter_var_1 +,25,counter_var_0 var_1 +
6,115 60 19 86 113,21,115 19 51 97 113,2,19,19,5,24,4,7,var_0 counter_var_1 +,38,counter_var_0 var_1 +
7,115 34 91 33 113,27,115 58 58 98 113,5,0,22,12,2,5,17,var_0 counter_var_1 +,22,counter_var_0 var_1 +
8,115 7 78 65 113,16,115 14 44 107 113,7,14,9,21,3,14,28,var_0 counter_var_1 +,23,counter_var_0 var_1 +
9,115 54 10 68 113,35,115 107 73 96 113,25,20,10,4,6,3,29,var_0 counter_var_1 +,30,counter_var_0 var_1 +
10,115 66 49 72 113,11,115 21 45 76 113,8,21,3,22,10,14,30,var_0 counter_var_1 +,24,counter_var_0 var_1 +
11,115 74 45 76 113,38,115 34 93 37 113,16,5,22,1,14,6,17,var_0 counter_var_1 +,27,counter_var_0 var_1 +
12,115 103 72 71 113,19,115 106 1 40 113,16,19,3,1,9,9,17,var_0 counter_var_1 +,22,counter_var_0 var_1 +
13,115 42 39 14 113,29,115 60 89 28 113,13,2,16,20,14,28,33,var_0 counter_var_1 +,18,counter_var_0 var_1 +
14,115 60 4 52 113,6,115 66 102 16 113,2,8,4,10,21,16,12,var_0 counter_var_1 +,12,counter_var_0 var_1 +
15,115 51 69 99 113,22,115 58 109 79 113,22,0,0,17,6,17,39,var_0 counter_var_1 +,0,counter_var_0 var_1 +
16,115 79 1 40 113,22,115 102 3 15 113,21,15,1,3,9,15,24,var_0 counter_var_1 +,16,counter_var_0 var_1 +
17,115 46 13 91 113,30,115 37 13 91 113,17,8,13,13,29,29,30,var_0 counter_var_1 +,21,counter_var_0 var_1 +
18,115 13 89 28 113,33,115 22 43 110 113,13,22,20,20,28,17,33,var_0 counter_var_1 +,42,counter_var_0 var_1 +
19,115 5 101 104 113,14,115 1 107 60 113,5,1,9,15,11,29,20,var_0 counter_var_1 +,10,counter_var_0 var_1 +
20,115 96 100 0 113,17,115 67 1 40 113,9,9,8,1,0,9,10,var_0 counter_var_1 +,17,counter_var_0 var_1 +
21,115 39 74 13 113,15,115 36 13 91 113,10,7,5,13,13,29,23,var_0 counter_var_1 +,12,counter_var_0 var_1 +
22,115 79 61 18 113,36,115 29 70 36 113,21,0,15,1,18,5,22,var_0 counter_var_1 +,15,counter_var_0 var_1 +
23,115 33 102 16 113,14,115 94 100 0 113,4,7,10,8,16,0,12,var_0 counter_var_1 +,17,counter_var_0 var_1 +
24,115 87 81 54 113,12,115 8 87 69 113,0,8,12,18,23,7,18,var_0 counter_var_1 +,20,counter_var_0 var_1 +
25,115 54 92 2 113,25,115 77 90 90 113,25,19,0,21,2,28,46,var_0 counter_var_1 +,19,counter_var_0 var_1 +
26,115 80 93 37 113,23,115 36 84 32 113,22,7,1,15,6,1,37,var_0 counter_var_1 +,8,counter_var_0 var_1 +
27,115 33 72 71 113,7,115 51 57 1 113,4,22,3,11,9,1,15,var_0 counter_var_1 +,25,counter_var_0 var_1 +
28,115 1 79 57 113,11,115 101 35 9 113,1,14,10,12,26,9,13,var_0 counter_var_1 +,24,counter_var_0 var_1 +
29,115 13 9 87 113,22,115 102 110 61 113,13,15,9,18,25,30,31,var_0 counter_var_1 +,24,counter_var_0 var_1 +
30,115 63 22 75 113,27,115 66 31 109 113,5,8,22,8,13,16,13,var_0 counter_var_1 +,30,counter_var_0 var_1 +
31,115 35 72 71 113,9,115 103 77 105 113,6,16,3,8,9,12,14,var_0 counter_var_1 +,19,counter_var_0 var_1 +
32,115 94 1 40 113,8,115 89 69 99 113,7,2,1,0,9,6,7,var_0 counter_var_1 +,3,counter_var_0 var_1 +
33,115 20 108 58 113,36,115 103 109 79 113,20,16,16,17,27,17,37,var_0 counter_var_1 +,32,counter_var_0 var_1 +
34,115 8 33 50 113,18,115 80 92 2 113,8,22,10,0,19,2,8,var_0 counter_var_1 +,32,counter_var_0 var_1 +
35,115 91 9 87 113,13,115 96 34 27 113,4,9,9,11,25,27,15,var_0 counter_var_1 +,18,counter_var_0 var_1 +
36,115 3 31 109 113,11,115 48 96 6 113,3,19,8,4,16,6,7,var_0 counter_var_1 +,27,counter_var_0 var_1 +
37,115 94 30 70 113,14,115 42 51 97 113,7,13,7,5,8,4,12,var_0 counter_var_1 +,20,counter_var_0 var_1 +
38,115 91 97 81 113,9,115 29 5 47 113,4,0,5,5,19,16,9,var_0 counter_var_1 +,5,counter_var_0 var_1 +
39,115 16 56 59 113,26,115 8 29 25 113,16,8,10,6,28,25,22,var_0 counter_var_1 +,18,counter_var_0 var_1 +
